секция,населено место,гласове април,гласове юли,спад %,ГЕРБ-СДС април,ГЕРБ-СДС юли,ГЕРБ-СДС спад %,ДПС април,ДПС юли,ДПС спад %,БСП април,БСП юли,БСП спад %,ИТН април,ИТН юли,ИТН спад %,МУТРИ ВЪН! април,МУТРИ ВЪН! юли,МУТРИ ВЪН! спад %,ДБ април,ДБ юли,ДБ спад %
152400204,с.Буковлък,655.0,213.0,67.48091603053436,355.0,45.0,87.32394366197182,226.0,7.0,96.90265486725663,22.0,23.0,-4.545454545454546,15.0,92.0,-513.3333333333334,3.0,8.0,-166.66666666666669,1.0,3.0,-200.0
152400205,с.Буковлък,798.0,112.0,85.96491228070175,483.0,1.0,99.79296066252587,259.0,36.0,86.10038610038609,28.0,15.0,46.42857142857143,5.0,18.0,-260.0,0.0,1.0,,0.0,3.0,
152400206,с.Буковлък,928.0,177.0,80.92672413793103,351.0,17.0,95.15669515669516,531.0,47.0,91.1487758945386,16.0,18.0,-12.5,10.0,60.0,-500.0,0.0,3.0,,0.0,5.0,
Общо,,2381.0,502.0,78.91642167156657,1189.0,63.0,94.70142977291842,1016.0,90.0,91.14173228346458,66.0,56.0,15.151515151515152,30.0,170.0,-466.6666666666667,3.0,12.0,-300.0,1.0,11.0,-1000.0
031300010,с.Венелин,273.0,77.0,71.7948717948718,76.0,29.0,61.8421052631579,120.0,14.0,88.33333333333333,40.0,12.0,70.0,9.0,10.0,-11.11111111111111,8.0,7.0,12.5,1.0,1.0,0.0
Общо,,273.0,77.0,71.7948717948718,76.0,29.0,61.8421052631579,120.0,14.0,88.33333333333333,40.0,12.0,70.0,9.0,10.0,-11.11111111111111,8.0,7.0,12.5,1.0,1.0,0.0
081700028,с.Септемврийци,123.0,37.0,69.91869918699187,71.0,7.0,90.14084507042254,4.0,5.0,-25.0,14.0,6.0,57.14285714285714,6.0,11.0,-83.33333333333334,0.0,0.0,,1.0,2.0,-100.0
Общо,,123.0,37.0,69.91869918699187,71.0,7.0,90.14084507042254,4.0,5.0,-25.0,14.0,6.0,57.14285714285714,6.0,11.0,-83.33333333333334,0.0,0.0,,1.0,2.0,-100.0
283500059,с.Голямо ново,228.0,86.0,62.28070175438597,57.0,21.0,63.1578947368421,112.0,26.0,76.78571428571429,18.0,13.0,27.77777777777778,20.0,15.0,25.0,1.0,2.0,-100.0,0.0,0.0,
283500060,с.Голямо ново,154.0,36.0,76.62337662337663,13.0,7.0,46.15384615384615,122.0,18.0,85.24590163934425,6.0,3.0,50.0,3.0,4.0,-33.33333333333333,0.0,2.0,,0.0,1.0,
