id,ГЕРБ,Коалиция за България,ДПС,Атака,НФСБ,ДБГ,ДСБ-БДФ,ВМРО - БНД,Лидер,РЗС,Свобода и Достойнство,СДС,Глас Народен,Зелените,Нова Алтернатива,Горда България,Демокр. Гражд. Инициатива,Гражданска Листа - Модерна БГ,Либерален Алианс,БЗНС,Партия на Бълг. Жени,Съюз на Комунистите,Единна Народна Партия,Българската Левица,Българска Пролет,Християндем. партия,Средна Европейска Класа,ДАНО,Нац.-Демократична Партия,Нац. Патриотично Обединение,Демократическа Партия,Другата България,Кауза България,независими,Християн-Социален Съюз,Нац. Движение Единство,Социалдем. Партия,не подкрепям никого,невалидни,total_valid,total,eligible_voters,n_stations
14.0,67,95,1057,1,5,24,0,1,2,1,23,1,3,0.0,0,6,1.0,0,0,2.0,0.0,0.0,1,0,0.0,0.0,0.0,0,0,0.0,1.0,2.0,0,0.0,0.0,3.0,0.0,0.0,16.0,1296.0,1312.0,2327,3
28.0,26,42,7,2,5,1,2,1,0,1,1,0,0,0.0,0,0,0.0,0,0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,3.0,89.0,92.0,117,1
31.0,19,4,37,2,1,0,0,0,0,1,3,0,0,0.0,0,0,1.0,0,0,0.0,1.0,0.0,0,0,2.0,1.0,0.0,1,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,6.0,73.0,79.0,213,1
45.0,129,101,5,18,20,3,3,4,2,5,0,1,1,0.0,3,0,0.0,2,0,0.0,1.0,4.0,0,0,0.0,1.0,0.0,0,1,1.0,0.0,0.0,0,0.0,2.0,0.0,0.0,0.0,11.0,307.0,318.0,699,1
59.0,35,5,259,2,0,1,0,0,0,1,18,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,2.0,0.0,0.0,15.0,323.0,338.0,594,1
84.0,187,96,3,27,9,35,28,2,0,1,1,8,0,0.0,0,0,0.0,0,1,0.0,0.0,2.0,1,0,0.0,0.0,0.0,0,0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,16.0,402.0,418.0,607,1
93.0,34,83,29,1,4,2,1,5,0,4,2,0,0,0.0,0,0,0.0,0,1,0.0,0.0,2.0,0,0,0.0,0.0,0.0,0,2,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,170.0,171.0,372,1
103.0,16,83,52,5,14,5,0,3,0,0,1,0,0,0.0,0,0,0.0,0,0,1.0,0.0,0.0,1,0,0.0,0.0,0.0,0,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,3.0,182.0,185.0,321,1
120.0,14,5,316,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0.0,0,0,0.0,1.0,0.0,1,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,3.0,339.0,342.0,778,1
134.0,100,48,0,28,9,5,3,2,23,12,0,1,4,2.0,1,1,0.0,0,1,1.0,0.0,0.0,8,1,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,14.0,251.0,265.0,598,1
151.0,2331,2102,1280,514,383,191,78,151,625,83,339,415,62,26.0,22,8,32.0,22,35,9.0,8.0,12.0,6,15,5.0,3.0,6.0,0,3,5.0,7.0,2.0,5,0.0,4.0,0.0,9.0,0.0,275.0,8798.0,9073.0,19371,30
165.0,49,48,2,55,4,13,6,1,3,4,8,4,2,2.0,0,0,0.0,0,0,0.0,0.0,0.0,0,1,0.0,0.0,0.0,2,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,8.0,205.0,213.0,391,1
179.0,8,28,0,3,4,1,1,0,0,0,0,1,0,0.0,1,0,0.0,0,0,0.0,0.0,1.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2.0,48.0,50.0,71,1
182.0,1279,775,33,445,228,133,59,64,54,45,6,39,66,21.0,16,3,18.0,10,32,15.0,6.0,8.0,6,5,0.0,0.0,6.0,2,8,10.0,4.0,1.0,1,23.0,0.0,1.0,0.0,0.0,97.0,3422.0,3519.0,6504,8
196.0,74,59,0,1,15,4,0,0,8,1,1,2,0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,1.0,0.0,0.0,0,0,0.0,1.0,0.0,0,0.0,0.0,1.0,0.0,0.0,6.0,168.0,174.0,291,1
215.0,19,40,4,1,4,3,1,0,0,3,0,0,2,0.0,2,0,0.0,0,0,0.0,0.0,0.0,0,0,1.0,0.0,0.0,1,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,81.0,82.0,135,1
223.0,193,182,13,43,23,12,13,7,41,18,0,7,1,3.0,3,1,2.0,4,2,0.0,1.0,0.0,0,0,0.0,1.0,1.0,0,1,0.0,2.0,1.0,0,0.0,0.0,1.0,0.0,0.0,14.0,576.0,590.0,1135,2
237.0,72,112,49,14,16,6,7,0,3,4,3,2,1,0.0,0,3,0.0,1,2,2.0,0.0,2.0,2,1,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,3.0,0.0,0.0,8.0,305.0,313.0,547,1
240.0,91,69,4,9,19,0,0,1,2,4,1,3,0,0.0,0,0,0.0,0,0,0.0,2.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,12.0,205.0,217.0,420,1
254.0,123,184,405,68,18,8,8,8,0,6,0,10,2,0.0,2,3,3.0,1,1,3.0,0.0,4.0,1,1,0.0,2.0,1.0,0,0,0.0,0.0,1.0,0,0.0,1.0,2.0,1.0,0.0,50.0,867.0,917.0,2300,3
268.0,13,12,9,2,3,1,0,3,0,0,2,2,0,0.0,0,1,0.0,0,0,0.0,0.0,0.0,0,0,0.0,1.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,49.0,50.0,39,1
271.0,12,13,0,0,11,1,1,1,1,5,0,0,0,1.0,0,0,0.0,0,0,2.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2.0,48.0,50.0,67,1
285.0,13,42,23,3,2,3,14,9,10,2,1,1,1,0.0,0,4,0.0,0,1,4.0,1.0,0.0,1,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,4.0,135.0,139.0,201,1
299.0,85,183,94,14,58,9,1,0,73,13,4,4,2,0.0,0,0,1.0,0,1,0.0,0.0,2.0,1,0,0.0,0.0,2.0,0,0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0,27.0,548.0,575.0,1643,2
309.0,30,119,485,7,25,1,0,6,2,1,1,1,0,0.0,3,1,0.0,0,0,0.0,3.0,3.0,2,0,1.0,1.0,0.0,1,1,1.0,2.0,0.0,0,0.0,0.0,0.0,0.0,0.0,28.0,697.0,725.0,1902,2
