municipality_name,ГЕРБ,Коалиция за България,ДПС,Атака,НФСБ,ДБГ,ДСБ-БДФ,невалидни,ВМРО - БНД,Лидер,РЗС,Свобода и Достойнство,СДС,Глас Народен,Зелените,Нова Алтернатива,Горда България,Демокр. Гражд. Инициатива,Гражданска Листа - Модерна БГ,Либерален Алианс,БЗНС,Партия на Бълг. Жени,Съюз на Комунистите,Единна Народна Партия,Българската Левица,Българска Пролет,Християндем. партия,Средна Европейска Класа,Нац.-Демократична Партия,ДАНО,Нац. Патриотично Обединение,Демократическа Партия,Другата България,Кауза България,Нац. Движение Единство,независими,Християн-Социален Съюз,Социалдем. Партия,не подкрепям никого,eligible_voters,region,region_name,n_stations,total,activity,nuts4
Аврен,1787,1188,245,184,159,271,101,136.0,17,5,43,14,43,11,7.0,1,3,10.0,7,31,6.0,0.0,16.0,5,6,2.0,4.0,0.0,2,1,4.0,3.0,3.0,2,0.0,3.0,0.0,0.0,0.0,6429,3,ВАРНА,17,4320.0,0.6719552029864676,VAR01
Айтос,2674,2478,3867,542,489,218,91,457.0,180,701,109,795,474,67,29.0,23,10,36.0,26,77,18.0,18.0,22.0,21,15,10.0,8.0,8.0,5,1,8.0,8.0,4.0,9,0.0,0.0,6.0,10.0,0.0,27813,2,БУРГАС,48,13514.0,0.48588789415021755,BGS01
Аксаково,3069,2280,599,726,436,197,115,251.0,86,139,143,32,108,83,30.0,22,14,32.0,21,75,29.0,11.0,38.0,13,10,8.0,8.0,11.0,12,4,20.0,11.0,2.0,3,4.0,35.0,0.0,0.0,0.0,15340,3,ВАРНА,34,8677.0,0.565645371577575,VAR02
Алфатар,461,449,223,94,111,12,3,61.0,14,36,34,16,30,1,4.0,1,5,2.0,4,4,0.0,3.0,0.0,6,3,1.0,1.0,1.0,0,0,1.0,0.0,0.0,0,1.0,0.0,1.0,0.0,0.0,2832,20,СИЛИСТРА,9,1583.0,0.5589689265536724,SLS01
Антон,220,206,5,65,45,12,20,22.0,14,4,21,15,13,4,13.0,3,1,1.0,4,1,0.0,1.0,2.0,0,2,1.0,0.0,0.0,1,0,0.0,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1315,26,СОФИЯ-ОБЛАСТ,2,698.0,0.5307984790874525,SFO54
Антоново,459,515,1902,83,48,26,31,98.0,5,33,9,331,7,3,4.0,3,5,1.0,6,2,6.0,9.0,9.0,11,1,1.0,0.0,1.0,7,0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,5718,28,ТЪРГОВИЩЕ,40,3617.0,0.6325638335082197,TGV02
Априлци,561,482,13,127,88,111,12,24.0,38,8,69,8,34,11,5.0,6,4,6.0,9,2,10.0,0.0,9.0,0,5,1.0,2.0,2.0,2,1,1.0,2.0,0.0,2,1.0,0.0,0.0,0.0,0.0,2899,11,ЛОВЕЧ,8,1656.0,0.5712314591238358,LOV02
Ардино,815,636,4616,33,80,35,13,251.0,3,26,32,436,25,11,9.0,9,6,0.0,12,2,7.0,12.0,9.0,23,2,0.0,0.0,0.0,2,4,3.0,0.0,3.0,0,0.0,0.0,0.0,0.0,0.0,20982,9,КЪРДЖАЛИ,41,7115.0,0.339100181107616,KRZ02
Асеновград,10026,7719,6868,2547,784,753,420,746.0,351,263,351,290,545,387,124.0,336,44,90.0,65,143,38.0,44.0,54.0,57,35,24.0,35.0,37.0,20,16,15.0,21.0,16.0,9,15.0,0.0,12.0,0.0,0.0,59774,17,ПЛОВДИВ,105,33300.0,0.5570984039883562,PDV01
Балчик,2440,2120,1187,700,508,343,107,258.0,196,44,168,435,150,40,0.0,29,37,40.0,32,40,17.0,20.0,0.0,11,17,15.0,12.0,2.0,27,4,3.0,17.0,3.0,3,0.0,0.0,0.0,0.0,0.0,18556,8,ДОБРИЧ,37,9025.0,0.48636559603362794,DOB03
Баните,417,1027,378,53,65,98,60,76.0,6,49,59,29,16,1,5.0,0,15,2.0,6,3,5.0,0.0,0.0,5,4,0.0,5.0,1.0,1,0,5.0,2.0,1.0,1,1.0,0.0,1.0,0.0,0.0,4607,22,СМОЛЯН,17,2397.0,0.5202952029520295,SML02
Банско,2602,1787,311,425,219,175,162,210.0,259,410,134,19,75,44,21.0,20,68,21.0,31,10,4.0,10.0,0.0,9,10,8.0,6.0,6.0,5,7,4.0,8.0,2.0,3,0.0,0.0,8.0,6.0,0.0,11394,1,БЛАГОЕВГРАД,19,7099.0,0.6230472178339477,BLG01
Батак,664,638,1397,154,127,66,62,61.0,20,29,75,22,30,6,9.0,26,7,10.0,20,17,6.0,3.0,2.0,5,33,0.0,2.0,2.0,2,1,1.0,0.0,0.0,2,3.0,0.0,3.0,1.0,0.0,5654,13,ПАЗАРДЖИК,9,3506.0,0.6200919702865229,PAZ03
Белене,663,2956,113,511,277,65,69,115.0,79,12,60,28,108,33,11.0,113,16,34.0,15,2,8.0,15.0,5.0,7,16,4.0,7.0,4.0,1,3,15.0,6.0,3.0,1,0.0,15.0,0.0,0.0,0.0,9314,15,ПЛЕВЕН,16,5390.0,0.5786987330899721,PVN03
Белица,859,615,3287,59,45,42,21,162.0,24,102,28,117,11,6,1.0,1,144,3.0,10,0,6.0,4.0,0.0,14,6,1.0,0.0,0.0,2,0,0.0,2.0,1.0,1,7.0,0.0,0.0,1.0,0.0,8094,1,БЛАГОЕВГРАД,17,5582.0,0.6896466518408698,BLG02
Белово,1171,1474,49,608,185,177,56,131.0,47,19,83,59,152,40,19.0,16,15,6.0,10,11,14.0,7.0,3.0,1,7,7.0,4.0,5.0,7,4,0.0,0.0,2.0,1,1.0,0.0,3.0,10.0,0.0,8332,13,ПАЗАРДЖИК,12,4404.0,0.528564570331253,PAZ04
Белоградчик,622,1185,32,251,96,111,56,81.0,44,76,117,62,70,12,7.0,19,36,18.0,29,9,0.0,0.0,13.0,4,4,7.0,0.0,11.0,6,0,1.0,0.0,4.0,2,0.0,0.0,0.0,0.0,0.0,6196,5,ВИДИН,20,2985.0,0.48176242737249836,VID01
Белослав,1315,1116,278,345,537,233,52,102.0,46,113,72,106,57,39,12.0,22,15,30.0,29,36,10.0,5.0,6.0,5,15,4.0,9.0,3.0,8,8,6.0,5.0,5.0,2,4.0,45.0,0.0,0.0,0.0,9303,3,ВАРНА,14,4695.0,0.5046759109964527,VAR04
Берковица,2441,3015,333,1118,314,351,121,262.0,136,420,104,21,68,47,33.0,24,19,47.0,94,14,15.0,18.0,21.0,14,16,12.0,35.0,0.0,9,7,5.0,9.0,2.0,21,5.0,0.0,8.0,0.0,0.0,17525,12,МОНТАНА,39,9179.0,0.5237660485021398,MON02
Благоевград,13075,8665,210,3280,909,1221,1307,923.0,1039,662,1959,212,397,1048,273.0,158,302,126.0,146,59,68.0,68.0,0.0,176,27,112.0,20.0,124.0,51,19,14.0,25.0,33.0,17,7.0,0.0,7.0,20.0,0.0,84075,1,БЛАГОЕВГРАД,120,36759.0,0.4372167707404103,BLG03
Бобов дол,931,1096,46,392,63,49,29,105.0,18,1801,55,31,23,12,12.0,8,5,16.0,15,9,3.0,0.0,0.0,2,7,7.0,4.0,2.0,10,0,3.0,3.0,0.0,5,0.0,0.0,0.0,3.0,0.0,8157,10,КЮСТЕНДИЛ,25,4765.0,0.5841608434473459,KNL04
Бобошево,337,437,28,174,48,50,13,52.0,24,187,19,3,7,6,2.0,2,7,4.0,6,2,2.0,0.0,0.0,0,4,12.0,3.0,0.0,0,50,2.0,1.0,0.0,2,0.0,0.0,0.0,1.0,0.0,2605,10,КЮСТЕНДИЛ,12,1485.0,0.5700575815738963,KNL05
Божурище,1314,988,58,251,123,95,88,75.0,59,33,59,10,43,52,43.0,28,4,54.0,9,2,40.0,25.0,10.0,4,2,3.0,1.0,6.0,3,2,2.0,1.0,3.0,2,0.0,0.0,2.0,4.0,0.0,6076,26,СОФИЯ-ОБЛАСТ,13,3498.0,0.575707702435813,SFO06
Бойница,125,278,11,34,7,27,3,18.0,4,8,29,58,2,1,0.0,2,4,1.0,3,1,0.0,0.0,6.0,0,0,1.0,1.0,0.0,2,0,0.0,0.0,0.0,4,0.0,0.0,1.0,0.0,0.0,1058,5,ВИДИН,6,631.0,0.5964083175803403,VID03
Бойчиновци,1020,1321,354,261,130,99,24,148.0,190,628,155,17,54,8,8.0,8,14,6.0,6,3,10.0,11.0,20.0,4,10,7.0,20.0,0.0,0,3,11.0,6.0,1.0,1,2.0,0.0,3.0,0.0,0.0,7728,12,МОНТАНА,19,4563.0,0.5904503105590062,MON04
Болярово,439,1352,9,63,151,21,13,85.0,6,1,136,45,9,3,7.0,7,4,0.0,8,0,6.0,0.0,5.0,0,3,3.0,1.0,1.0,5,3,0.0,0.0,1.0,1,2.0,0.0,1.0,0.0,0.0,3403,31,ЯМБОЛ,21,2391.0,0.7026153394064061,JAM03
Борино,380,364,1203,17,8,16,17,62.0,1,21,5,117,4,2,1.0,2,16,1.0,4,0,1.0,0.0,0.0,2,2,0.0,0.0,1.0,0,2,13.0,2.0,0.0,1,3.0,0.0,0.0,0.0,0.0,3548,22,СМОЛЯН,7,2268.0,0.6392333709131905,SML05
Борован,549,891,863,137,129,48,14,113.0,14,96,17,21,9,2,5.0,4,67,3.0,3,3,4.0,6.0,8.0,6,7,2.0,1.0,2.0,3,2,0.0,0.0,5.0,1,7.0,0.0,4.0,1.0,0.0,4910,6,ВРАЦА,10,3047.0,0.6205702647657841,VRC05
Борово,839,863,598,132,203,76,22,109.0,40,4,77,13,23,9,4.0,7,11,11.0,6,1,4.0,3.0,0.0,6,2,4.0,2.0,2.0,3,2,0.0,7.0,0.0,3,4.0,0.0,0.0,0.0,0.0,5773,19,РУСЕ,11,3090.0,0.535250303135285,RSE03
Ботевград,5157,4870,161,1698,849,472,339,377.0,1100,285,588,46,160,142,89.0,71,48,51.0,115,63,39.0,45.0,40.0,18,83,44.0,12.0,7.0,17,28,9.0,16.0,12.0,6,7.0,0.0,11.0,12.0,0.0,29540,26,СОФИЯ-ОБЛАСТ,45,17087.0,0.578436018957346,SFO07
Братя Даскалови,822,1664,450,250,160,53,22,102.0,29,82,52,32,29,8,1.0,12,8,1.0,14,11,11.0,4.0,4.0,7,3,2.0,1.0,0.0,8,1,3.0,2.0,0.0,1,3.0,0.0,0.0,0.0,0.0,6677,27,СТАРА ЗАГОРА,26,3852.0,0.576905796016175,SZR04
Брацигово,1361,1529,188,406,255,82,64,140.0,29,27,180,45,68,31,7.0,5,23,6.0,16,7,17.0,10.0,10.0,1,7,4.0,5.0,2.0,7,0,2.0,0.0,5.0,1,1.0,0.0,3.0,2.0,0.0,8415,13,ПАЗАРДЖИК,17,4546.0,0.5402257872846108,PAZ06
Брегово,795,1919,15,181,60,33,28,220.0,16,0,54,12,30,7,3.0,6,9,3.0,14,4,0.0,0.0,10.0,1,1,0.0,5.0,0.0,7,0,1.0,0.0,2.0,3,0.0,0.0,1.0,0.0,0.0,5110,5,ВИДИН,15,3440.0,0.6731898238747553,VID06
Брезник,828,1373,31,288,88,171,67,75.0,58,135,39,40,32,13,5.0,38,8,13.0,7,1,17.0,5.0,4.0,2,10,6.0,11.0,1.0,4,3,1.0,6.0,0.0,4,3.0,0.0,3.0,2.0,0.0,6002,14,ПЕРНИК,25,3392.0,0.5651449516827725,PER08
Брезово,874,1824,112,195,114,79,20,83.0,13,58,49,93,61,15,5.0,6,3,5.0,11,10,13.0,6.0,10.0,6,7,3.0,3.0,2.0,4,0,1.0,5.0,0.0,1,0.0,0.0,2.0,0.0,0.0,6108,17,ПЛОВДИВ,20,3693.0,0.6046168958742633,PDV07
Брусарци,726,1014,125,180,59,69,6,85.0,69,34,29,12,22,2,1.0,10,31,7.0,10,4,6.0,4.0,10.0,4,10,5.0,9.0,0.0,3,1,2.0,7.0,0.0,1,0.0,0.0,2.0,0.0,0.0,4494,12,МОНТАНА,13,2559.0,0.5694259012016022,MON07
Бургас,42600,23010,1961,4474,9528,3152,2306,1905.0,1764,2424,1285,540,2492,1439,676.0,497,273,641.0,505,102,187.0,195.0,162.0,104,140,82.0,90.0,482.0,52,53,76.0,87.0,49.0,65,0.0,0.0,42.0,54.0,0.0,186536,2,БУРГАС,290,103494.0,0.5548205172191963,BGS04
Бяла (Варна),444,420,78,93,126,29,24,48.0,4,0,10,20,16,12,3.0,3,0,6.0,0,5,3.0,5.0,4.0,2,0,3.0,2.0,0.0,1,3,4.0,4.0,0.0,0,1.0,49.0,0.0,0.0,0.0,2752,3,ВАРНА,6,1422.0,0.5167151162790697,VAR05
Бяла (Русе),1642,1776,320,432,439,631,99,151.0,139,23,140,29,73,41,12.0,38,23,17.0,22,16,10.0,12.0,0.0,9,26,7.0,6.0,4.0,2,3,3.0,19.0,2.0,0,1.0,0.0,0.0,0.0,0.0,13091,19,РУСЕ,25,6167.0,0.47108700634023376,RSE04
Бяла Слатина,3927,3322,1946,759,360,256,105,313.0,94,308,89,409,92,42,23.0,25,48,32.0,37,42,25.0,9.0,34.0,13,20,4.0,7.0,1.0,6,2,2.0,6.0,6.0,4,11.0,0.0,9.0,4.0,0.0,22577,6,ВРАЦА,39,12392.0,0.5488771758869646,VRC08
Варна,56388,32053,5503,16321,7201,8109,5553,3065.0,2795,960,2046,677,2031,4108,1751.0,767,635,932.0,786,1939,266.0,344.0,209.0,256,239,208.0,192.0,146.0,221,62,417.0,180.0,146.0,101,68.0,679.0,0.0,0.0,0.0,296910,3,ВАРНА,386,157354.0,0.5299720454009632,VAR06
