id,ГЕРБ,БСП,ДПС,РЕФОРМАТОРСКИ БЛОК,ПФ (НФСБ-ВМРО),ББЦ,АТАКА,АБВ,Движение 21,Глас Народен,РЕПУБЛИКА БГ,ЗЕЛЕНИТЕ,Нова България,НОВА АЛТЕРНАТИВА,ОБЕДИНЕНА БЪЛГАРИЯ,БЪЛГАРСКА СОЦИАЛДЕМОКРАЦИЯ,НДСВ,ПАРТИЯ НА ЗЕЛЕНИТЕ,ДЕСНИТЕ,ЛЕВИЦАТА И ЗЕЛЕНА ПАРТИЯ,НОВА СИЛА,БНС-НД,СОЦИАЛДЕМ. ПАРТИЯ,ОБЩЕСТВО ЗА НОВА БГ,НОВОТО ВРЕМЕ,независими,не подкрепям никого,невалидни,total_valid,total,eligible_voters,n_stations
14,73,61,1108,4,0,6,0,4,3,1,0,1,0,0,0,1,1,0,4,0,0.0,1,0,0.0,0,0.0,0,102,1268.0,1370.0,2343,3
28,24,37,5,4,2,5,2,5,1,0,6,0,0,0,0,0,0,0,0,0,0.0,0,2,0.0,0,0.0,0,2,93.0,95.0,122,1
31,7,1,78,4,0,0,4,0,0,0,0,1,1,0,0,0,0,0,2,0,0.0,0,0,0.0,0,0.0,0,7,98.0,105.0,228,1
45,110,28,60,6,23,28,13,10,0,0,1,0,2,2,1,0,1,1,0,0,0.0,0,2,0.0,0,0.0,0,33,288.0,321.0,697,1
59,24,1,274,11,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0,0,0.0,0,1.0,0,25,314.0,339.0,598,1
84,169,44,6,28,17,42,19,9,0,1,0,0,1,0,0,1,0,0,0,0,0.0,0,1,1.0,0,0.0,0,36,339.0,375.0,588,1
93,32,62,49,3,4,14,1,7,0,0,4,1,0,0,2,1,0,0,0,0,0.0,0,0,1.0,0,0.0,0,7,181.0,188.0,372,1
103,26,62,38,4,11,6,9,0,3,0,3,0,0,0,0,1,1,0,1,1,0.0,0,1,0.0,0,0.0,0,9,167.0,176.0,324,1
120,7,3,354,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0.0,0,0,0.0,0,0.0,0,9,369.0,378.0,906,1
134,103,22,5,27,33,13,16,19,2,2,6,1,0,1,2,2,1,0,0,3,0.0,1,1,1.0,0,3.0,0,22,264.0,286.0,608,1
151,2278,1028,1762,592,756,494,292,288,55,45,6,15,23,11,16,23,11,9,7,12,10.0,10,4,12.0,7,19.0,0,776,7785.0,8561.0,19566,30
165,59,28,4,20,6,22,25,1,2,0,0,1,0,1,2,1,0,0,0,2,0.0,0,0,1.0,0,0.0,0,28,175.0,203.0,397,1
179,11,23,2,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,7,42.0,49.0,66,1
182,1204,360,25,260,337,224,205,133,58,51,12,17,17,15,11,13,10,5,8,1,5.0,3,2,3.0,7,0.0,0,250,2986.0,3236.0,6500,7
196,55,67,8,2,10,11,1,3,0,0,0,0,0,0,0,3,0,0,0,0,0.0,0,0,0.0,0,0.0,0,17,160.0,177.0,283,1
215,23,24,2,2,3,3,3,2,1,0,1,0,0,0,1,0,0,0,0,0,1.0,0,0,0.0,0,0.0,0,5,66.0,71.0,66,1
223,175,85,17,32,18,63,26,29,1,1,9,2,1,2,1,1,2,0,0,1,1.0,0,1,0.0,0,0.0,0,34,468.0,502.0,1142,2
237,40,57,50,34,12,25,16,11,2,0,0,1,0,0,0,0,0,0,0,1,0.0,1,1,2.0,0,0.0,0,19,253.0,272.0,517,1
240,66,40,34,8,23,5,2,2,0,0,2,0,5,1,0,0,1,0,0,0,0.0,0,1,0.0,0,0.0,0,11,190.0,201.0,396,1
254,118,89,607,7,31,42,45,36,1,4,10,1,3,1,3,1,2,0,3,1,2.0,0,0,0.0,0,0.0,0,146,1007.0,1153.0,2329,3
268,8,9,8,0,7,2,4,1,0,0,0,0,1,0,1,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,4,41.0,45.0,66,1
271,14,7,2,3,5,1,0,5,0,1,0,0,0,1,0,0,0,0,1,0,0.0,0,0,0.0,0,0.0,0,7,40.0,47.0,63,1
285,10,27,5,31,7,13,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,0.0,3,0.0,0,20,101.0,121.0,194,1
299,87,133,173,10,39,15,22,17,1,1,1,1,1,0,0,0,5,2,0,2,1.0,0,0,1.0,0,0.0,0,49,512.0,561.0,1642,2
309,27,50,599,2,27,19,5,13,0,1,4,0,0,1,2,2,1,0,5,0,0.0,0,1,1.0,0,0.0,0,152,760.0,912.0,2034,2
312,4,11,149,4,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0.0,0,0,0.0,0,0.0,0,6,172.0,178.0,280,1
326,14,14,7,147,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,1.0,0,16,189.0,205.0,257,1
330,12,8,0,0,8,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0.0,0,0.0,0,6,34.0,40.0,46,1
