municipality_name,ГЕРБ,БСП,ДПС,РЕФОРМАТОРСКИ БЛОК,ПФ (НФСБ-ВМРО),невалидни,ББЦ,АТАКА,АБВ,Движение 21,Глас Народен,ЗЕЛЕНИТЕ,РЕПУБЛИКА БГ,Нова България,НОВА АЛТЕРНАТИВА,ОБЕДИНЕНА БЪЛГАРИЯ,БЪЛГАРСКА СОЦИАЛДЕМОКРАЦИЯ,НДСВ,ПАРТИЯ НА ЗЕЛЕНИТЕ,ДЕСНИТЕ,ЛЕВИЦАТА И ЗЕЛЕНА ПАРТИЯ,БНС-НД,НОВА СИЛА,СОЦИАЛДЕМ. ПАРТИЯ,ОБЩЕСТВО ЗА НОВА БГ,НОВОТО ВРЕМЕ,независими,не подкрепям никого,eligible_voters,region,region_name,n_stations,total,activity,nuts4
Аврен,1725,439,712,233,188,614,263,89,174,19,14,5,8,10,1,9,17,15,5,6,6,6,9.0,10,5.0,7,0.0,0,4849,3,-,17,4589.0,0.9463806970509383,VAR01
Айтос,2663,1230,4690,684,869,1292,601,313,324,59,49,15,6,25,13,22,31,14,13,10,19,12,15.0,9,15.0,20,25.0,0,28314,2,-,48,13038.0,0.46047891502436955,BGS01
Аксаково,2960,978,720,490,605,1029,502,372,248,88,67,26,23,34,23,20,24,18,12,15,5,7,15.0,11,18.0,15,0.0,0,15565,3,-,33,8325.0,0.5348538387407645,VAR02
Алфатар,374,308,330,49,133,80,59,68,19,6,3,1,8,17,10,2,1,10,3,2,3,2,4.0,1,1.0,0,0.0,0,2830,20,-,9,1494.0,0.5279151943462898,SLS01
Антон,180,123,37,68,50,63,37,52,13,3,1,7,4,9,5,3,1,3,2,0,2,1,1.0,1,1.0,1,0.0,0,1332,26,-,2,668.0,0.5015015015015015,SFO54
Антоново,599,385,2339,103,65,119,56,47,46,1,11,1,0,6,2,1,4,3,3,4,4,3,4.0,3,3.0,2,0.0,0,5905,28,-,39,3814.0,0.6458933107535987,TGV02
Априлци,534,252,45,112,191,66,144,85,72,13,12,6,3,3,1,12,7,4,1,1,4,3,4.0,6,2.0,2,0.0,0,2863,11,-,7,1585.0,0.5536150890674119,LOV02
Ардино,830,296,6590,95,22,297,55,29,19,2,12,7,22,11,14,2,10,4,5,4,17,2,5.0,11,2.0,1,0.0,0,23817,9,-,43,8364.0,0.3511777301927195,KRZ02
Асеновград,9879,4476,6833,1595,1473,3144,1655,1174,1101,148,254,111,80,170,134,86,79,81,43,27,31,27,33.0,40,0.0,24,0.0,0,60596,17,-,105,32698.0,0.5396065746913987,PDV01
Балчик,2043,1134,1690,324,700,573,1142,385,348,69,37,31,20,22,18,28,25,17,6,22,22,15,13.0,10,18.0,8,0.0,0,18401,8,-,37,8720.0,0.4738872887343079,DOB03
