id,ГЕРБ,БСП,ОБЕДИНЕНИ ПАТРИОТИ,ДПС,ВОЛЯ,РБ-ГЛАС НАРОДЕН,"Зелените, ДЕОС",не подкрепям никого,ДСБ (коалиция),ДОСТ,АБВ/Движение 21,ВЪЗР,Партия на ЗЕЛЕНИТЕ,БЪЛГАРСКА ПРОЛЕТ,ДНБ,КОАЛИЦИЯ НА НЕДОВОЛНИТЕ,ПП ДРОМ,независими1,БНО,БДЦ,КОЙ,НРП,независими2,ДВИЖЕНИЕ ПРЕЗАРЕДИ БЪЛГАРИЯ,невалидни,total_valid,total,eligible_voters,n_stations
14,106,151,0,903,11,2,3,16,0,40,5,2,0,1,2,4,0,0.0,0,1,0,0,0.0,0,62,1247.0,1309.0,2350,3
28,27,35,7,4,5,0,0,1,2,0,2,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,2,83.0,85.0,109,1
31,8,5,3,68,4,1,0,1,0,3,0,0,0,0,0,1,0,0.0,0,0,0,0,0.0,0,6,94.0,100.0,208,1
45,155,131,22,6,2,2,0,6,3,3,3,0,3,5,1,1,2,0.0,1,0,0,0,0.0,0,24,346.0,370.0,681,1
59,9,10,2,138,4,0,0,8,1,176,1,0,0,1,0,0,0,0.0,0,0,0,0,0.0,0,15,350.0,365.0,599,1
84,157,101,32,2,40,1,1,5,0,0,0,5,1,2,0,0,0,0.0,0,0,0,0,0.0,0,18,347.0,365.0,555,1
93,45,70,2,64,8,1,1,4,0,1,1,1,1,0,0,3,0,0.0,0,0,0,0,0.0,0,5,202.0,207.0,364,1
103,29,65,4,19,6,1,1,3,0,1,1,0,2,1,0,0,0,0.0,0,0,0,1,0.0,0,10,134.0,144.0,287,1
120,16,6,0,160,2,0,0,1,0,157,2,0,1,0,0,0,0,0.0,0,0,0,0,0.0,0,22,345.0,367.0,943,1
134,147,57,27,17,17,7,6,7,7,2,6,1,4,1,0,0,0,5.0,1,0,0,0,0.0,0,5,312.0,317.0,608,1
151,2604,2236,880,1011,530,247,62,175,69,688,60,45,16,9,29,19,7,0.0,2,6,1,8,0.0,0,478,8704.0,9182.0,19273,31
165,58,83,30,0,9,6,4,6,5,0,0,3,0,0,0,1,0,0.0,0,0,0,0,0.0,0,20,205.0,225.0,378,1
179,26,9,3,3,1,2,0,2,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,1,46.0,47.0,58,1
182,1257,988,380,67,545,72,70,87,63,2,43,57,7,12,8,4,1,3.0,2,0,2,2,2.0,0,167,3674.0,3841.0,6567,7
196,50,81,7,6,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0,8,146.0,154.0,271,1
215,36,30,18,1,0,1,1,1,0,0,1,1,0,0,1,0,0,0.0,0,1,0,0,0.0,0,1,92.0,93.0,88,1
223,254,220,36,9,17,10,4,20,9,0,5,2,2,0,1,1,0,0.0,0,0,0,0,0.0,0,31,590.0,621.0,1107,2
