municipality_name,ГЕРБ,БСП,ОБЕДИНЕНИ ПАТРИОТИ,ДПС,невалидни,ВОЛЯ,РБ-ГЛАС НАРОДЕН,"Зелените, ДЕОС",ДОСТ,не подкрепям никого,ДСБ (коалиция),АБВ/Движение 21,ВЪЗР,Партия на ЗЕЛЕНИТЕ,БЪЛГАРСКА ПРОЛЕТ,ДНБ,КОАЛИЦИЯ НА НЕДОВОЛНИТЕ,ПП ДРОМ,независими1,БНО,БДЦ,КОЙ,НРП,независими2,ДВИЖЕНИЕ ПРЕЗАРЕДИ БЪЛГАРИЯ,eligible_voters,region,region_name,n_stations,total,activity,nuts4
Аврен,1568,1021,264,627,314,373,28,29,15,50,26,31,21,7,11,6,12,2,2.0,2,2,0,6,3.0,0,7031,3,03. ВАРНА,17,4420.0,0.6286445740292989,VAR01
Айтос,3398,2641,988,2511,807,640,285,72,2072,219,80,75,53,23,17,35,20,9,0.0,3,8,4,13,0.0,0,28071,2,02. БУРГАС,50,13973.0,0.4977735029033522,BGS01
Аксаково,3347,2340,728,766,646,950,107,101,12,158,110,134,82,20,19,21,15,3,16.0,8,1,3,7,8.0,0,16647,3,03. ВАРНА,33,9602.0,0.5768006247371898,VAR02
Алфатар,569,462,170,224,67,44,31,0,20,19,2,14,7,2,1,3,2,0,0.0,2,2,2,1,0.0,0,2753,20,20. СИЛИСТРА,10,1644.0,0.5971667272066836,SLS01
Антон,206,256,81,48,42,47,33,17,0,22,10,7,5,1,0,1,3,0,0.0,0,0,1,0,0.0,0,1307,26,26. СОФИЯ област,2,780.0,0.5967865340474369,SFO54
Антоново,600,442,120,2007,119,36,21,6,145,42,17,6,7,3,3,1,1,1,0.0,2,0,3,2,0.0,0,5726,28,28. ТЪРГОВИЩЕ,39,3584.0,0.6259168704156479,TGV02
Априлци,579,527,255,57,50,80,27,29,0,51,23,27,11,6,1,4,2,0,2.0,2,0,0,0,0.0,0,2664,11,11. ЛОВЕЧ,7,1733.0,0.6505255255255256,LOV02
Ардино,1032,669,41,4805,283,64,6,14,956,70,10,10,8,8,2,7,5,1,0.0,1,5,2,0,0.0,0,23607,9,09. КЪРДЖАЛИ,55,7999.0,0.33884017452450543,KRZ02
Асеновград,10119,8357,2463,4156,1928,1138,763,615,2017,658,433,435,166,73,98,40,40,17,0.0,23,13,14,10,0.0,0,58997,17,17. ПЛОВДИВ област,107,33576.0,0.5691136837466312,PDV01
Балчик,1716,2781,1076,823,461,623,135,146,221,136,89,246,93,25,24,24,15,28,0.0,9,0,5,0,0.0,0,18094,8,08. ДОБРИЧ,36,8676.0,0.4794959655134299,DOB03
