id,ГЕРБ-СДС,ИТН,БСП,ДПС,ДБ,МУТРИ ВЪН!,ВМРО,БНО,ВОЛЯ И НФСБ,ВЪЗР,не подкрепям никого,РЕПУБЛИКАНЦИ ЗА БГ,ДНК,АТАКА,АБВ,ВЪЗРАЖДАНЕ НА ОТЕЧЕСТВОТО,КОД,ГЛАС НАРОДЕН,Партия на ЗЕЛЕНИТЕ,"НИЕ, ГРАЖДАНИТЕ ",БПЛ,МИР,ЗАЕДНО,ОБЩЕСТВО,БСДД,ПРЯКА ДЕМОКРАЦИЯ,БНС,Граждани от Протеста,ПРАВОТО,БОГ,НАЦИЯ,независими,невалидни,total_valid,total,eligible_voters,n_stations
14,377,92,39,742,20,14,18,16,0,1,4,1,1,0,6,0,1,0,1,0,1,0,0,1,0,0,0,3,1,1,0,20.0,23,1360.0,1383.0,2319,3
28,26,6,24,3,3,2,0,0,2,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,70.0,71.0,99,1
31,10,2,7,54,1,1,0,0,2,0,0,0,0,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3,82.0,85.0,196,1
45,159,26,61,15,3,21,1,10,8,2,1,2,1,3,3,1,0,0,0,1,0,0,0,0,1,1,0,1,1,0,1,0.0,15,323.0,338.0,668,1
59,79,13,5,142,1,1,2,6,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,12,257.0,269.0,588,1
84,140,37,49,7,7,7,15,8,10,3,1,0,1,3,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,8,293.0,301.0,301,1
93,57,17,35,62,4,0,3,0,0,3,5,6,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,2,194.0,196.0,330,1
103,51,12,14,16,1,1,0,2,10,0,2,0,2,2,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.0,7,116.0,123.0,257,1
120,64,4,5,159,2,1,0,0,1,1,6,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0.0,12,248.0,260.0,948,1
134,106,55,24,35,25,12,6,10,9,3,4,2,1,1,2,2,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,7,301.0,308.0,628,1
151,1818,1035,1288,1355,357,336,202,150,211,140,93,193,21,35,11,21,10,17,6,6,6,1,16,9,3,7,5,5,1,0,3,0.0,239,7361.0,7600.0,19076,34
