municipality_name,ГЕРБ-СДС,ИТН,БСП,ДПС,ДБ,МУТРИ ВЪН!,ВМРО,БНО,невалидни,ВЪЗР,ВОЛЯ И НФСБ,не подкрепям никого,РЕПУБЛИКАНЦИ ЗА БГ,ДНК,АТАКА,АБВ,ВЪЗРАЖДАНЕ НА ОТЕЧЕСТВОТО,КОД,ГЛАС НАРОДЕН,Партия на ЗЕЛЕНИТЕ,"НИЕ, ГРАЖДАНИТЕ ",БПЛ,МИР,ЗАЕДНО,ОБЩЕСТВО,ПРЯКА ДЕМОКРАЦИЯ,БСДД,БНС,Граждани от Протеста,ПРАВОТО,БОГ,НАЦИЯ,независими,eligible_voters,region,region_name,n_stations,total,activity,nuts4
Аврен,1559,371,432,461,90,180,409,50,173,54,132,23,11,13,16,13,11,10,5,5,2,3,2,1,1,8,8,2,1,2,1,1,0.0,6581,3,03. ВАРНА,17,4050.0,0.6154079927062757,VAR01
Айтос,3616,1193,1524,2758,388,381,231,167,398,161,311,118,342,23,42,16,25,15,19,7,8,8,3,17,11,9,6,9,6,2,1,3,0.0,27965,2,02. БУРГАС,53,11818.0,0.42259967816914,BGS01
Аксаково,2943,1611,1280,874,371,380,517,181,300,226,334,114,117,39,37,35,48,17,26,14,9,6,4,10,9,12,8,5,5,6,7,4,0.0,17108,3,03. ВАРНА,39,9549.0,0.5581599251812017,VAR02
Алфатар,348,139,217,136,27,39,80,27,72,13,34,10,140,2,13,2,3,0,1,0,3,0,6,0,1,2,0,0,0,2,2,0,0.0,2599,20,20. СИЛИСТРА,11,1319.0,0.5075028857252789,SLS01
Антон,106,117,123,62,27,38,19,9,10,25,14,9,0,5,2,1,1,0,0,0,0,4,0,0,0,0,1,0,1,0,1,0,0.0,1267,26,26. СОФИЯ област,2,575.0,0.4538279400157853,SFO54
Антоново,535,140,251,1710,10,35,20,5,93,14,25,17,54,4,6,4,2,4,4,0,1,1,1,2,1,1,1,1,0,0,2,0,0.0,5380,28,28. ТЪРГОВИЩЕ,39,2944.0,0.5472118959107807,TGV02
Априлци,567,277,261,38,77,69,63,21,36,45,29,15,4,15,4,7,11,1,0,1,2,14,1,8,2,2,3,2,1,1,0,1,0.0,2492,11,11. ЛОВЕЧ,7,1578.0,0.6332263242375602,LOV02
Ардино,884,168,303,4944,48,47,7,23,137,10,12,44,14,5,11,10,5,12,7,1,1,7,1,2,4,2,3,1,0,1,4,1,0.0,24444,9,09. КЪРДЖАЛИ,60,6719.0,0.2748731795123548,KRZ02
Асеновград,7352,4231,4344,4776,1416,916,534,550,707,529,1131,316,246,93,125,56,80,38,43,38,33,22,6,12,20,19,26,14,14,7,7,5,0.0,57828,17,17. ПЛОВДИВ област,110,27706.0,0.479110465518434,PDV01
Балчик,2025,1161,1201,700,384,309,241,155,224,170,217,74,127,39,49,26,45,6,17,10,11,14,8,13,8,4,6,6,5,2,0,1,0.0,17706,8,08. ДОБРИЧ,40,7258.0,0.4099175420761324,DOB03
Баните,837,188,376,302,40,126,17,12,44,3,91,14,44,4,4,4,2,2,1,5,0,1,0,1,2,1,0,2,1,4,2,2,0.0,3623,22,22. СМОЛЯН,19,2132.0,0.5884626000552029,SML02
Банско,2776,1021,1025,212,381,272,155,141,159,87,595,95,317,33,11,18,37,7,11,10,14,5,7,6,6,3,5,6,9,5,7,4,1.0,10531,1,01. БЛАГОЕВГРАД,23,7441.0,0.7065805716456177,BLG01
