id,ГЕРБ-СДС,ИТН,БСП,ДБ,ДПС,МУТРИ ВЪН!,"ВМРО, ВОЛЯ И НФСБ",ВЪЗР,БЪЛГАРСКО ЛЯТО,не подкрепям никого,АТАКА,ЛЯВ СЪЮЗ,РЕПУБЛИКАНЦИ ЗА БГ,НОД,БНС,ГЛАС НАРОДЕН,СВОБОДА,БТР,МИР,ЗАЕДНО,Партия на ЗЕЛЕНИТЕ,ПРЯКА ДЕМОКРАЦИЯ,БРИГАДА,ПОДЕМ,независими,невалидни,total_valid,total,eligible_voters,n_stations
14,130,156,36,29,455,72,40,1,5,5.0,0,0,0,1,0,0,1,0,0,1,0,1,20,1,0.0,0.0,954.0,954.0,2307.0,3
28,18,4,19,5,3,4,5,1,1,1.0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0.0,0.0,65.0,65.0,88.0,1
31,7,4,4,0,58,2,1,0,0,0.0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0.0,2.0,80.0,82.0,192.0,1
45,97,51,54,9,13,11,5,6,0,0.0,3,0,1,0,1,0,1,0,0,1,0,3,1,0,0.0,0.0,257.0,257.0,667.0,1
59,23,13,2,2,170,1,0,0,1,2.0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0.0,0.0,218.0,218.0,573.0,1
84,122,63,39,11,1,10,4,2,1,3.0,3,1,2,1,1,0,0,1,0,1,0,0,0,0,0.0,0.0,266.0,266.0,517.0,1
93,34,23,21,5,57,3,1,0,0,4.0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,152.0,152.0,304.0,1
103,23,18,12,2,35,4,0,1,1,1.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,5.0,99.0,104.0,253.0,1
120,46,8,2,3,197,2,1,0,0,5.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.0,0.0,266.0,266.0,944.0,1
134,63,70,22,51,20,10,1,11,5,4.0,1,1,0,0,2,0,0,1,0,0,0,0,1,0,0.0,0.0,263.0,263.0,636.0,1
151,1353,1331,870,392,1076,265,134,124,68,46.0,32,23,4,8,7,14,5,8,3,7,2,4,1,4,0.0,1.0,5781.0,5782.0,18953.0,31
165,47,47,37,14,0,21,2,7,2,2.0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,182.0,182.0,349.0,1
179,6,4,1,8,1,1,0,0,0,2.0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0.0,3.0,26.0,29.0,35.0,1
182,723,1026,348,255,37,168,124,139,29,32.0,9,12,16,4,8,5,13,4,3,4,9,3,2,0,0.0,2.0,2973.0,2975.0,6541.0,10
196,38,23,34,7,9,7,1,1,1,0.0,0,0,1,0,0,0,9,0,0,0,0,0,0,0,0.0,9.0,131.0,140.0,252.0,1
215,25,11,19,7,1,6,1,2,0,3.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,1.0,76.0,77.0,125.0,1
223,118,119,68,31,10,20,4,8,17,4.0,2,0,3,0,0,0,1,0,0,2,0,0,0,0,0.0,0.0,407.0,407.0,1063.0,2
237,32,38,27,3,15,17,2,5,0,1.0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0.0,0.0,143.0,143.0,434.0,1
240,45,38,24,3,20,2,2,1,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,3.0,136.0,139.0,343.0,1
