municipality_name,ИТН,ГЕРБ-СДС,БСП,ДБ,ДПС,МУТРИ ВЪН!,"ВМРО, ВОЛЯ И НФСБ",ВЪЗР,БЪЛГАРСКО ЛЯТО,не подкрепям никого,АТАКА,ЛЯВ СЪЮЗ,невалидни,РЕПУБЛИКАНЦИ ЗА БГ,НОД,ГЛАС НАРОДЕН,БНС,СВОБОДА,БТР,ЗАЕДНО,МИР,Партия на ЗЕЛЕНИТЕ,ПРЯКА ДЕМОКРАЦИЯ,БРИГАДА,ПОДЕМ,независими,eligible_voters,region,region_name,n_stations,total,activity,nuts4
Аврен,655,1225,540,141,207,182,169,68,22,28.0,22,10,32.0,2,6,4,4,15,9,7,7,4,4,9,2,0.0,6725.0,3,03. ВАРНА,17,3374.0,0.5017100371747212,VAR01
Айтос,1560,2891,1046,444,2606,331,155,143,70,61.0,42,30,32.0,5,13,14,9,5,13,7,7,4,8,1,8,0.0,27414.0,2,02. БУРГАС,50,9505.0,0.3467206536806012,BGS01
Аксаково,2013,2562,1041,491,292,327,418,247,58,85.0,33,32,61.0,29,12,14,20,56,16,8,7,15,8,11,2,0.0,17066.0,3,03. ВАРНА,38,7858.0,0.46044767373725537,VAR02
Алфатар,233,360,173,55,167,28,32,14,10,11.0,8,2,10.0,3,1,0,4,0,2,2,3,1,0,0,1,0.0,2579.0,20,20. СИЛИСТРА,11,1120.0,0.4342768514928267,SLS01
Антон,116,85,72,38,58,37,7,18,10,8.0,5,3,0.0,2,3,0,1,3,0,0,0,0,0,2,0,0.0,1260.0,26,26. СОФИЯ област,2,468.0,0.37142857142857144,SFO54
Антоново,320,401,238,34,1693,31,13,16,7,21.0,6,6,37.0,3,1,2,0,3,1,2,7,0,1,1,0,0.0,5342.0,28,28. ТЪРГОВИЩЕ,40,2844.0,0.5323848745788095,TGV02
Априлци,336,376,192,114,10,65,44,41,11,8.0,8,19,6.0,2,0,0,1,0,3,0,0,1,0,2,1,0.0,2475.0,11,11. ЛОВЕЧ,7,1240.0,0.501010101010101,LOV02
Ардино,308,715,212,100,5443,65,7,8,11,40.0,12,3,30.0,2,0,2,0,7,6,3,5,0,3,1,0,0.0,24385.0,9,09. КЪРДЖАЛИ,58,6983.0,0.2863645683822022,KRZ02
Асеновград,4752,5903,3289,1665,3663,984,733,508,297,237.0,105,88,48.0,23,23,23,44,27,37,27,12,9,21,15,8,0.0,57478.0,17,17. ПЛОВДИВ област,108,22541.0,0.3921674379762692,PDV01
Балчик,1529,1027,922,577,561,305,413,193,75,63.0,50,37,29.0,5,18,9,18,18,13,10,5,7,13,10,0,0.0,17595.0,8,08. ДОБРИЧ,38,5907.0,0.3357203751065644,DOB03
Баните,317,659,371,64,275,108,67,8,27,15.0,5,0,25.0,1,1,0,0,0,3,0,0,0,2,0,0,0.0,3661.0,22,22. СМОЛЯН,21,1948.0,0.5320950559956296,SML02
