id,ПП,ГЕРБ-СДС,БСП,ДПС,ИТН,ДБ,ВЪЗР,ИЗПРАВИ СЕ,не подкрепям никого,ВМРО,ЕВРОЛЕВИЦА,АТАКА,ОНБ,ГЛАС НАРОДЕН,НОД,ПФ,ВОЛЯ,ПРАВОТО,РВО,БСДД,МИР,Партия на ЗЕЛЕНИТЕ,БНО,БОГ,БПЛ,ПД,БРИГАДА,БНС-НД,независими,невалидни,total_valid,total,eligible_voters,n_stations
14,42,39,59,410,141,18,6,3,9.0,0,3,0,1,2,1,2,2,2,1,1,3,0,0,0,0,0,38,0,0,0.0,783.0,783.0,2315.0,3
28,11,21,17,3,3,2,3,2,0.0,3,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2.0,69.0,71.0,97.0,1
31,1,2,1,58,3,0,1,1,0.0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9.0,70.0,79.0,192.0,1
45,21,55,23,13,10,4,13,6,4.0,1,9,3,1,3,2,4,3,1,3,2,2,3,2,0,0,0,0,0,0,0.0,188.0,188.0,665.0,1
59,7,18,3,135,8,3,0,0,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,182.0,188.0,590.0,1
84,37,103,41,2,22,4,11,3,3.0,3,3,1,0,2,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0.0,240.0,240.0,527.0,2
93,16,22,26,44,10,1,4,0,2.0,1,1,0,0,2,1,0,1,1,0,4,0,0,0,0,0,1,0,0,0,0.0,137.0,137.0,322.0,1
103,10,15,11,35,5,1,1,2,1.0,0,2,2,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,10.0,90.0,100.0,247.0,1
120,0,24,0,203,5,1,4,0,0.0,1,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,243.0,243.0,977.0,1
134,68,61,16,7,31,12,10,9,1.0,5,1,1,1,3,1,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0.0,231.0,231.0,644.0,1
151,1206,1225,608,1056,509,176,215,106,69.0,35,38,30,22,32,17,22,23,13,8,13,9,6,4,1,4,2,1,1,3,7.0,5454.0,5461.0,18092.0,33
165,27,31,30,1,18,10,7,2,4.0,0,1,1,1,0,1,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0.0,138.0,138.0,341.0,1
179,8,11,2,2,1,2,0,1,0.0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,30.0,30.0,23.0,1
182,822,672,238,57,404,96,227,50,34.0,27,21,7,10,8,9,15,18,8,7,4,7,2,5,4,3,1,0,1,0,5.0,2757.0,2762.0,6536.0,11
196,17,52,41,5,7,11,0,2,3.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,3.0,141.0,144.0,251.0,1
215,18,21,18,1,9,2,1,3,4.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,78.0,79.0,129.0,1
223,74,89,45,7,39,13,19,7,7.0,6,3,0,3,1,4,2,2,2,0,2,2,0,0,6,1,0,0,0,0,0.0,334.0,334.0,1053.0,2
237,30,19,21,12,18,2,2,7,0.0,2,0,4,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,121.0,121.0,428.0,1
240,14,40,12,3,9,5,0,4,1.0,0,0,1,1,1,1,2,0,0,0,0,1,0,2,0,0,0,0,0,0,0.0,97.0,97.0,343.0,1
254,52,66,27,60,44,13,8,9,2.0,4,6,2,3,2,3,3,1,1,2,3,0,0,2,1,0,1,0,0,0,0.0,315.0,315.0,2399.0,3
268,4,8,1,14,4,1,1,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,34.0,36.0,45.0,1
271,7,39,4,1,3,1,1,3,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,60.0,60.0,77.0,1
285,11,16,19,1,5,3,1,1,1.0,6,1,1,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,5.0,71.0,76.0,149.0,1
299,33,82,37,41,40,3,7,5,0.0,5,5,0,9,4,3,4,2,2,1,5,0,3,1,0,0,0,0,0,0,0.0,292.0,292.0,1586.0,2
309,21,24,31,276,16,2,6,3,5.0,1,2,1,2,2,4,2,0,1,1,0,0,1,1,1,1,0,0,1,0,12.0,405.0,417.0,2156.0,2
312,4,19,5,52,2,1,1,1,2.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,89.0,91.0,260.0,1
326,7,92,14,12,4,0,2,1,2.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,11.0,136.0,147.0,186.0,1
330,4,9,10,1,3,2,4,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,34.0,34.0,41.0,1
343,0,22,8,0,4,3,0,1,0.0,0,0,3,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,3.0,46.0,49.0,100.0,1
357,1101,1314,336,37,387,190,233,108,72.0,48,20,29,23,22,13,13,12,17,14,10,7,6,4,1,0,5,0,1,0,1.0,4023.0,4024.0,11188.0,19
360,1,2,5,1,4,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,13.0,17.0,20.0,1
374,3,6,34,4,1,1,2,1,0.0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1.0,57.0,58.0,94.0,1
391,17,47,52,1,6,1,2,2,0.0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,8.0,132.0,140.0,200.0,2
401,28,88,40,86,21,13,13,2,0.0,3,3,0,1,1,11,2,3,0,0,0,0,1,1,0,0,0,0,0,0,0.0,317.0,317.0,881.0,2
415,129,197,104,6,83,13,18,9,10.0,9,7,6,4,1,1,5,6,2,2,3,1,1,1,0,1,0,2,1,0,5.0,622.0,627.0,1322.0,5
429,4,6,5,41,1,0,0,1,0.0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2.0,62.0,64.0,291.0,1
432,2,15,2,42,1,1,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3.0,66.0,69.0,246.0,1
446,1,2,1,269,4,0,0,1,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,279.0,279.0,508.0,1
480,75,29,56,53,39,7,8,5,5.0,4,2,8,2,0,4,3,1,1,0,1,1,0,0,0,0,0,0,0,0,0.0,304.0,304.0,957.0,2
494,0,2,1,3,0,1,0,5,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,13.0,14.0,27.0,1
504,106,76,50,54,54,18,27,9,6.0,4,4,0,2,1,1,2,0,1,4,0,2,0,1,0,1,0,0,1,0,0.0,424.0,424.0,1255.0,2
518,48,81,63,167,42,8,5,1,3.0,0,3,1,0,1,3,0,0,0,1,1,0,0,2,0,0,0,1,0,0,2.0,431.0,433.0,1384.0,4
549,59,63,35,4,35,10,16,7,2.0,5,3,1,0,3,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0.0,247.0,247.0,806.0,1
552,21,26,25,4,6,0,2,3,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5.0,89.0,94.0,177.0,1
566,0,6,31,5,2,2,1,1,1.0,1,0,0,1,0,1,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0.0,56.0,56.0,496.0,1
571,3,17,6,26,7,2,2,0,0.0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,67.0,67.0,352.0,1
583,52,68,23,2,3,17,6,2,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,176.0,177.0,257.0,1
597,32,25,23,9,11,1,1,2,4.0,0,0,1,1,3,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,5.0,117.0,122.0,299.0,1
607,126,172,53,1502,37,27,16,7,17.0,1,4,1,6,3,8,2,3,4,0,5,1,0,2,1,0,0,0,0,0,1.0,1998.0,1999.0,7988.0,13
624,9,24,2,1,4,1,1,2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,44.0,44.0,57.0,1
638,20,47,9,1,3,1,4,1,0.0,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2.0,91.0,93.0,122.0,1
655,17,63,18,2,9,1,5,3,2.0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,5.0,124.0,129.0,209.0,1
672,57,70,49,233,54,82,22,13,12.0,2,10,7,3,8,6,3,3,6,2,7,3,0,0,1,1,1,1,1,0,0.0,657.0,657.0,2159.0,3
697,17,19,9,93,6,4,9,1,2.0,0,4,0,1,1,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0.0,170.0,170.0,643.0,1
702,3526,4596,1840,2578,1440,731,752,374,199.0,107,69,89,88,64,60,119,53,44,32,33,16,16,14,9,5,2,2,8,0,8.0,16866.0,16874.0,47233.0,77
713,36,62,22,0,23,2,14,9,0.0,0,0,4,2,2,1,1,3,0,1,1,1,0,1,0,0,0,0,0,0,0.0,185.0,185.0,495.0,1
730,5,15,37,101,8,1,0,2,2.0,0,2,1,3,0,9,2,1,0,1,2,1,0,0,0,0,0,0,1,0,0.0,194.0,194.0,578.0,1
744,10,21,26,5,7,1,3,3,3.0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2.0,83.0,85.0,170.0,1
758,10,7,15,1,4,1,0,2,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5.0,43.0,48.0,81.0,1
761,11,25,156,55,25,11,14,4,3.0,1,8,3,5,3,2,1,7,1,1,5,0,0,0,1,2,0,0,1,0,0.0,345.0,345.0,1286.0,2
775,11,5,32,1,4,1,3,1,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,60.0,67.0,103.0,1
789,22,97,32,0,26,6,10,4,1.0,1,3,2,1,1,0,4,1,0,0,0,0,1,0,0,2,0,0,0,0,0.0,214.0,214.0,448.0,1
792,19,85,18,17,8,1,2,2,0.0,0,3,2,1,1,1,4,1,1,0,0,1,0,0,1,1,0,0,0,0,0.0,169.0,169.0,384.0,1
802,14,24,24,21,19,15,3,0,0.0,0,0,0,3,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.0,127.0,127.0,474.0,1
816,2,37,13,0,3,1,0,1,3.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4.0,62.0,66.0,143.0,1
828,0,4,4,85,1,1,0,0,0.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.0,98.0,98.0,338.0,1
833,234,158,53,6,85,13,39,19,7.0,6,5,3,4,1,3,4,4,1,1,1,3,1,0,0,0,2,1,0,0,0.0,654.0,654.0,1815.0,4
847,5,22,42,1,7,2,3,4,2.0,1,1,1,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,13.0,96.0,109.0,197.0,1
850,8,48,13,51,6,2,1,3,0.0,2,2,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0.0,141.0,141.0,389.0,1
864,0,6,2,38,1,0,0,0,1.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.0,50.0,51.0,148.0,1
878,113,94,42,7,52,22,23,8,7.0,0,4,1,3,1,3,5,0,2,0,3,2,1,3,0,0,0,0,1,0,0.0,397.0,397.0,1024.0,2
881,2,119,4,16,4,1,0,0,0.0,1,2,0,1,0,0,2,1,0,0,1,0,0,1,1,0,0,0,0,0,0.0,156.0,156.0,304.0,1
895,532,440,198,90,280,47,101,24,30.0,17,18,14,7,18,21,16,9,8,10,12,8,1,2,1,0,0,1,1,0,13.0,1906.0,1919.0,5549.0,11
905,4,29,5,25,1,3,1,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,69.0,70.0,100.0,1
919,26,56,80,2,11,7,7,7,2.0,0,0,0,0,0,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0.0,203.0,203.0,465.0,2
