municipality_name,ПП,ГЕРБ-СДС,ДПС,БСП,ИТН,ДБ,ВЪЗР,ИЗПРАВИ СЕ,не подкрепям никого,ВМРО,ЕВРОЛЕВИЦА,АТАКА,ОНБ,ГЛАС НАРОДЕН,невалидни,НОД,ПФ,ВОЛЯ,РВО,ПРАВОТО,БСДД,МИР,Партия на ЗЕЛЕНИТЕ,БНО,БОГ,БПЛ,ПД,БРИГАДА,БНС-НД,независими,eligible_voters,region,region_name,n_stations,total,activity,nuts4
Аврен,505,966,204,359,249,65,118,60,24.0,69,10,15,10,12,27.0,19,13,31,12,11,13,4,4,3,3,2,5,2,0,0,6723.0,3,03. ВАРНА,18,2815.0,0.41871188457533837,VAR01
Айтос,1365,2213,2554,730,607,216,255,133,99.0,45,51,36,27,42,24.0,22,29,35,13,23,21,12,11,8,3,7,4,2,4,7,26813.0,2,02. БУРГАС,52,8598.0,0.32066534889792264,BGS01
Аксаково,1557,2301,525,744,788,183,436,119,80.0,64,56,18,31,26,69.0,23,28,37,17,23,18,16,9,5,10,8,4,7,5,0,16970.0,3,03. ВАРНА,39,7207.0,0.42469063052445494,VAR02
Алфатар,167,305,121,129,109,24,21,13,12.0,10,10,11,7,4,7.0,7,10,7,2,5,5,2,1,4,1,1,1,2,1,0,2542.0,20,20. СИЛИСТРА,11,999.0,0.3929976396538159,SLS01
Антон,106,76,54,50,54,18,27,9,6.0,4,4,0,2,1,0.0,1,2,0,4,1,0,2,0,1,0,1,0,0,1,0,1255.0,26,26. СОФИЯ област,2,424.0,0.33784860557768925,SFO54
Антоново,98,348,1622,215,134,37,26,18,16.0,5,9,9,4,7,54.0,10,2,3,3,4,3,6,1,3,8,2,2,3,1,0,5582.0,28,28. ТЪРГОВИЩЕ,40,2653.0,0.47527767825152273,TGV02
Априлци,274,323,6,139,105,46,47,21,17.0,25,7,6,5,3,9.0,2,3,5,4,3,3,2,1,1,0,0,0,0,0,0,2474.0,11,11. ЛОВЕЧ,7,1057.0,0.4272433306386419,LOV02
Ардино,229,615,4977,168,107,58,38,16,50.0,8,16,7,13,17,21.0,22,6,5,5,12,10,2,0,2,4,1,1,1,0,0,24569.0,9,09. КЪРДЖАЛИ,58,6411.0,0.2609385811388335,KRZ02
Асеновград,4132,5641,3653,2460,1747,800,849,480,237.0,120,99,106,108,79,50.0,82,134,63,41,52,46,20,20,18,12,7,6,3,9,0,57636.0,17,17. ПЛОВДИВ област,110,21074.0,0.3656395308487751,PDV01
Балчик,1290,846,608,625,591,249,254,166,61.0,105,44,34,34,18,25.0,26,23,16,22,21,23,5,7,3,2,4,4,1,1,0,17067.0,8,08. ДОБРИЧ,38,5108.0,0.29929102947208064,DOB03
Баните,277,480,271,321,142,51,12,29,19.0,5,9,3,9,3,31.0,9,4,6,2,2,6,3,4,2,1,2,1,1,0,0,3498.0,22,22. СМОЛЯН,18,1705.0,0.48742138364779874,SML02
Банско,1353,1713,89,636,645,246,188,168,95.0,58,31,27,28,37,9.0,26,21,93,20,16,15,12,9,10,6,5,2,3,0,0,11043.0,1,01. БЛАГОЕВГРАД,23,5561.0,0.5035769265598117,BLG01
Батак,295,364,1221,134,161,53,43,41,32.0,36,5,5,9,5,1.0,4,1,4,4,4,3,1,0,0,0,0,2,0,0,0,5206.0,13,13. ПАЗАРДЖИК,11,2428.0,0.46638494045332307,PAZ03
Белене,578,450,81,629,449,100,133,252,50.0,27,26,12,8,16,12.0,16,14,5,10,8,9,7,5,2,1,1,1,3,5,0,7920.0,15,15. ПЛЕВЕН,17,2910.0,0.36742424242424243,PVN03
Белица,127,356,3534,169,88,14,23,22,26.0,12,11,4,6,12,6.0,12,4,4,2,6,13,2,1,1,4,0,3,0,0,0,8030.0,1,01. БЛАГОЕВГРАД,19,4462.0,0.5556662515566625,BLG02
Белово,577,982,17,527,307,86,119,79,28.0,19,28,27,18,13,0.0,12,12,11,18,11,11,12,4,8,4,2,2,2,2,0,7331.0,13,13. ПАЗАРДЖИК,13,2938.0,0.40076387941617786,PAZ04
Белоградчик,425,341,236,306,195,102,46,53,20.0,14,17,8,4,7,12.0,12,3,4,4,4,3,5,0,0,1,1,0,1,0,0,5283.0,5,05. ВИДИН,19,1824.0,0.34525837592277114,VID01
Белослав,648,516,143,262,473,69,169,66,40.0,35,27,25,16,14,0.0,13,16,13,3,11,12,7,5,3,1,4,0,2,0,0,9003.0,3,03. ВАРНА,14,2593.0,0.28801510607575254,VAR04
Берковица,1295,1150,960,640,577,129,193,146,74.0,39,34,29,28,19,31.0,34,12,18,16,20,26,7,3,6,9,5,1,2,0,0,15709.0,12,12. МОНТАНА,43,5503.0,0.350308740212617,MON02
Благоевград,8217,6747,1364,2503,3183,1635,1026,905,348.0,445,140,108,143,125,26.0,97,81,61,47,99,56,54,40,24,13,14,17,9,10,0,90468.0,1,01. БЛАГОЕВГРАД,144,27537.0,0.3043838705398594,BLG03
Бобов дол,417,639,57,489,306,47,79,97,40.0,20,20,20,10,14,20.0,10,9,5,8,7,4,5,3,4,1,3,0,3,3,0,6731.0,10,10. КЮСТЕНДИЛ,27,2340.0,0.34764522359233396,KNL04
Бобошево,153,206,12,135,107,24,31,25,9.0,7,6,12,4,4,4.0,10,13,1,3,1,3,0,0,2,1,1,1,1,2,0,2048.0,10,10. КЮСТЕНДИЛ,10,778.0,0.3798828125,KNL05
Божурище,839,802,29,280,261,187,141,96,47.0,29,22,17,18,24,2.0,7,4,4,7,7,7,3,7,6,1,0,2,2,2,0,6357.0,26,26. СОФИЯ област,12,2853.0,0.4487966021708353,SFO06
Бойница,56,197,12,56,33,10,4,7,5.0,0,3,5,2,0,14.0,1,0,4,0,1,2,3,2,0,0,1,0,0,0,0,747.0,5,05. ВИДИН,5,418.0,0.5595716198125836,VID03
Бойчиновци,322,397,769,280,243,55,70,44,34.0,76,17,18,11,13,25.0,98,8,12,10,6,10,3,3,4,5,2,1,1,0,0,7000.0,12,12. МОНТАНА,19,2537.0,0.36242857142857143,MON04
