id,ГЕРБ-СДС,ПП,ДПС,ВЪЗР,БСП,ДБ,БВ,ИТН,не подкрепям никого,ИЗПРАВИ СЕ,ВМРО,ДНК,КСБ,АТАКА,РВО,ГЛАС НАРОДЕН,БСДД,ЕВРОЛЕВИЦА,КТБ,КОД,МИР,ПД,НДЕ,НФСБ,БТР,НП ИСИ,БНС,ПРАВОТО,БНО,независими,невалидни,total_valid,total,eligible_voters,n_stations
14,105,69,407,17,78,13,18,30,6.0,4,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0.0,0.0,752.0,752.0,2307.0,3
28,19,13,3,4,12,3,2,2,5.0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2.0,67.0,69.0,97.0,1
31,8,0,62,3,2,0,1,2,0.0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,2.0,81.0,83.0,190.0,1
45,111,17,9,15,13,4,3,4,5.0,2,0,0,1,1,0,0,0,2,2,0,0,0,0,5,1,0,0,3,3,0.0,0.0,201.0,201.0,664.0,1
59,8,9,153,0,1,2,1,1,0.0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.0,0.0,180.0,180.0,583.0,1
84,90,34,3,30,29,10,4,12,11.0,2,0,0,1,2,1,0,1,0,3,0,0,2,1,2,1,1,0,0,2,1.0,0.0,243.0,243.0,514.0,1
93,10,31,53,2,10,1,2,1,3.0,1,0,0,2,0,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,121.0,121.0,302.0,1
103,23,21,31,3,6,1,0,2,2.0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0,0.0,93.0,93.0,244.0,1
120,25,4,232,2,1,1,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0.0,0.0,269.0,269.0,962.0,1
134,72,37,10,19,18,13,16,19,9.0,0,1,0,2,1,0,1,1,1,1,0,3,0,0,0,0,0,0,0,0,0.0,0.0,224.0,224.0,639.0,1
151,1379,807,1128,494,571,164,263,144,166.0,28,18,8,19,15,23,15,10,16,19,6,7,5,9,7,4,7,2,2,4,0.0,4.0,5340.0,5344.0,18846.0,31
165,36,27,2,9,33,8,13,11,2.0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.0,0.0,144.0,144.0,339.0,1
179,21,3,1,1,5,1,0,3,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2.0,37.0,39.0,48.0,1
182,779,542,46,455,224,133,140,141,108.0,18,16,13,9,4,4,7,4,4,7,2,7,4,4,7,5,4,0,2,1,7.0,0.0,2697.0,2697.0,6545.0,10
196,34,63,3,5,12,2,0,1,0.0,4,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0.0,3.0,129.0,132.0,243.0,1
215,19,12,1,4,9,4,4,2,3.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,2.0,61.0,63.0,115.0,1
223,121,67,11,40,34,15,28,10,16.0,4,2,2,3,0,0,0,1,0,2,1,2,0,1,1,0,1,1,0,0,0.0,0.0,363.0,363.0,1038.0,2
237,19,21,17,18,13,1,4,6,2.0,2,1,1,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.0,0.0,109.0,109.0,414.0,1
