municipality_name,ГЕРБ-СДС,ПП,ДПС,ВЪЗР,БСП,ДБ,БВ,ИТН,не подкрепям никого,ИЗПРАВИ СЕ,ВМРО,ДНК,КСБ,невалидни,АТАКА,РВО,ГЛАС НАРОДЕН,БСДД,ЕВРОЛЕВИЦА,КТБ,КОД,МИР,ПД,НДЕ,НФСБ,БТР,НП ИСИ,БНС,ПРАВОТО,БНО,независими,eligible_voters,region,region_name,n_stations,total,activity,nuts4
Аврен,1169,438,255,281,273,89,93,83,58.0,80,11,8,5,27.0,12,6,5,13,5,8,9,11,14,15,4,5,9,6,2,8,2.0,6708.0,3,03. ВАРНА,17,3004.0,0.44782349433512225,VAR01
Айтос,2531,993,2728,579,662,192,340,197,197.0,34,22,11,25,18.0,18,25,17,24,21,25,10,9,9,14,13,8,11,4,5,7,0.0,27556.0,2,02. БУРГАС,50,8749.0,0.3174989113078821,BGS01
Аксаково,2566,1154,587,896,623,235,265,256,196.0,55,27,29,23,48.0,10,15,12,23,14,12,6,10,5,8,13,9,30,1,4,8,12.0,17033.0,3,03. ВАРНА,38,7152.0,0.41989080021135444,VAR02
Алфатар,405,146,149,45,114,30,30,44,28.0,5,2,1,1,6.0,4,1,1,3,1,1,1,0,2,2,1,5,0,2,2,0,0.0,2558.0,20,20. СИЛИСТРА,11,1032.0,0.4034401876465989,SLS01
Антон,75,97,63,49,38,25,21,9,8.0,3,1,0,1,0.0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0.0,1241.0,26,26. СОФИЯ област,2,397.0,0.31990330378726833,SFO54
Антоново,288,111,1833,48,195,35,18,64,38.0,11,2,8,2,55.0,2,3,0,6,2,2,0,3,2,3,2,2,1,1,1,0,0.0,5574.0,28,28. ТЪРГОВИЩЕ,40,2738.0,0.4912091855041263,TGV02
Априлци,376,179,8,123,120,62,45,32,33.0,4,6,5,4,5.0,6,3,0,0,2,2,0,3,0,2,2,0,1,0,1,1,0.0,2421.0,11,11. ЛОВЕЧ,7,1025.0,0.42337876910367617,LOV02
Ардино,493,255,5539,46,137,59,52,30,54.0,10,3,0,7,13.0,2,2,0,23,8,3,1,3,5,7,2,4,2,2,2,9,0.0,25110.0,9,09. КЪРДЖАЛИ,58,6773.0,0.2697331740342493,KRZ02
Асеновград,5670,3478,3734,1734,2555,830,920,706,592.0,146,62,61,51,42.0,64,33,35,36,38,27,18,16,29,32,38,29,13,11,12,9,0.0,56511.0,17,17. ПЛОВДИВ област,109,21021.0,0.3719806763285024,PDV01
Балчик,857,855,962,667,486,199,343,161,154.0,67,65,13,13,23.0,17,13,18,13,12,12,11,1,11,11,6,8,8,2,3,5,0.0,17455.0,8,08. ДОБРИЧ,38,5016.0,0.28736751647092523,DOB03
Баните,437,260,262,39,220,46,26,84,44.0,16,2,2,2,27.0,0,1,0,4,2,2,1,2,2,2,0,1,3,0,1,0,0.0,3411.0,22,22. СМОЛЯН,17,1488.0,0.436235708003518,SML02
Банско,1758,904,129,462,625,242,353,169,271.0,41,44,21,13,8.0,13,12,6,11,12,10,11,9,8,9,4,2,0,4,2,6,0.0,10872.0,1,01. БЛАГОЕВГРАД,23,5159.0,0.47452170713760117,BLG01
Батак,365,194,1319,98,117,38,80,45,73.0,6,18,3,13,0.0,1,3,2,4,2,3,2,2,2,4,2,4,1,3,0,2,0.0,5131.0,13,13. ПАЗАРДЖИК,9,2406.0,0.468914441629312,PAZ03
Белене,477,585,88,289,590,98,140,119,137.0,63,18,8,6,16.0,13,5,8,7,10,8,2,6,6,5,2,5,7,5,2,2,0.0,7770.0,15,15. ПЛЕВЕН,17,2727.0,0.35096525096525094,PVN03
Белица,329,121,3929,61,227,10,37,10,41.0,6,12,7,7,24.0,2,3,2,16,3,1,3,6,1,4,2,0,0,3,1,1,0.0,7951.0,1,01. БЛАГОЕВГРАД,19,4869.0,0.6123758017859389,BLG02
Белово,977,417,92,278,425,87,141,96,91.0,32,17,14,5,0.0,13,11,2,6,17,16,4,5,3,15,3,3,4,2,1,1,0.0,7193.0,13,13. ПАЗАРДЖИК,11,2778.0,0.3862088141248436,PAZ04
Белоградчик,527,286,494,115,223,145,74,58,55.0,20,6,8,1,19.0,5,5,5,9,10,3,5,2,1,3,5,3,1,1,3,2,0.0,5208.0,5,05. ВИДИН,19,2094.0,0.402073732718894,VID01
Белослав,828,505,131,372,226,88,97,154,101.0,51,15,5,17,0.0,11,4,7,9,3,8,3,3,8,10,8,3,8,1,2,7,6.0,8977.0,3,03. ВАРНА,14,2691.0,0.29976606884259777,VAR04
Берковица,1187,1030,1255,457,603,115,157,211,170.0,142,23,26,11,18.0,23,21,7,23,20,14,12,12,7,0,7,8,5,8,3,3,0.0,14916.0,12,12. МОНТАНА,41,5578.0,0.37396084741217483,MON02
Благоевград,8208,6168,1660,2386,2569,1439,1865,1311,979.0,179,426,108,68,17.0,57,44,54,38,94,45,40,64,43,45,21,25,0,22,21,14,0.0,91566.0,1,01. БЛАГОЕВГРАД,142,28010.0,0.3058995697092807,BLG03
Бобов дол,656,354,110,228,436,55,316,77,63.0,58,12,8,8,16.0,10,3,2,7,12,5,2,2,3,2,3,4,2,6,3,2,0.0,6693.0,10,10. КЮСТЕНДИЛ,27,2465.0,0.3682952338263858,KNL04
Бобошево,251,152,67,51,116,24,48,28,20.0,6,2,2,0,9.0,4,3,3,3,7,2,0,0,1,0,15,2,0,1,1,0,0.0,1988.0,10,10. КЮСТЕНДИЛ,10,818.0,0.41146881287726356,KNL05
Божурище,889,552,53,326,248,223,189,101,143.0,25,34,7,11,1.0,15,4,10,4,7,7,5,6,5,7,1,5,3,1,1,3,0.0,6356.0,26,26. СОФИЯ област,12,2886.0,0.4540591567023285,SFO06
Бойница,212,62,15,15,46,19,5,6,10.0,2,0,0,1,26.0,3,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0.0,726.0,5,05. ВИДИН,5,425.0,0.5853994490358126,VID03
Бойчиновци,520,301,967,230,235,38,45,91,43.0,16,101,6,11,12.0,4,5,3,10,5,12,1,3,2,0,3,5,6,5,0,1,0.0,6954.0,12,12. МОНТАНА,19,2681.0,0.38553350589588725,MON04
Болярово,292,165,17,144,716,21,42,27,41.0,2,4,11,3,42.0,11,2,1,8,19,10,3,2,2,2,4,6,6,5,3,2,0.0,2663.0,31,31. ЯМБОЛ,21,1613.0,0.6057078482914007,JAM03
