id,ГЕРБ-СДС,ПП/ДБ,ВЪЗР,ДПС,БСП,не подкрепям никого,ИТН,БВ,ЛЕВИЦАТА,АТАКА (к.),ЗАЕДНО,КОД,НП ИСИ,НДСВ,ВЪН ОТ ЕС,ГЛАС НАРОДЕН,МИР,ЕВРОЛЕВИЦА,БСДД,БНО,БНС-НД,независими,СПБП,невалидни,total_valid,total,eligible_voters,n_stations
14,111,185,20,658,33,20.0,39,4,3,0,0,0,3,5,0,2,0,1,3,0,0,0.0,0,9,1087.0,1096.0,2307,3
28,20,9,5,4,20,2.0,0,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0,1,66.0,67.0,97,1
31,8,3,2,59,2,2.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.0,0,5,78.0,83.0,185,1
45,118,25,29,13,14,3.0,2,11,0,0,0,0,2,1,0,0,0,1,1,0,0,0.0,0,20,220.0,240.0,671,1
59,20,10,1,129,1,2.0,0,49,0,0,0,0,1,0,0,0,0,0,0,0,1,0.0,0,6,214.0,220.0,576,1
84,109,37,42,6,24,8.0,7,8,1,0,1,0,1,0,0,0,0,0,0,1,0,0.0,0,1,245.0,246.0,511,1
93,12,24,3,69,19,8.0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,139.0,139.0,301,1
103,28,15,10,38,3,1.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0,5,97.0,102.0,244,1
120,23,4,3,252,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,284.0,284.0,945,1
134,69,40,33,18,13,11.0,22,5,7,1,1,0,1,0,0,1,0,0,0,0,0,0.0,0,2,222.0,224.0,642,1
151,1583,817,763,1255,498,175.0,168,166,110,28,9,2,10,4,11,8,2,5,3,4,3,0.0,0,110,5624.0,5734.0,18775,31
165,49,36,22,2,22,2.0,10,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,6,149.0,155.0,337,1
179,17,4,4,2,3,1.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0,1,33.0,34.0,48,1
182,824,564,567,84,222,127.0,174,68,48,4,7,7,13,12,8,3,4,4,2,1,2,10.0,0,26,2755.0,2781.0,6569,10
196,45,73,6,4,4,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,5,134.0,139.0,241,1
215,20,17,8,1,7,3.0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,61.0,62.0,109,1
223,127,70,53,11,30,31.0,10,7,13,1,3,2,1,0,1,0,2,0,0,0,0,0.0,0,3,362.0,365.0,1046,2
237,27,21,26,39,17,4.0,3,5,3,1,0,2,1,0,0,0,0,0,0,0,1,0.0,0,8,150.0,158.0,410,1
240,65,22,11,2,9,1.0,3,3,0,1,0,0,2,0,1,0,0,1,0,0,0,0.0,0,9,121.0,130.0,345,1
