municipality_name,ГЕРБ-СДС,ПП/ДБ,ВЪЗР,ДПС,БСП,не подкрепям никого,ИТН,БВ,ЛЕВИЦАТА,невалидни,АТАКА (к.),ЗАЕДНО,НП ИСИ,КОД,НДСВ,ВЪН ОТ ЕС,ГЛАС НАРОДЕН,МИР,ЕВРОЛЕВИЦА,БСДД,БНО,БНС-НД,независими,СПБП,eligible_voters,region,region_name,n_stations,total,activity,nuts4
Аврен,1357,456,388,237,262,81.0,102,46,59,108,6,5,14,3,16,3,4,3,1,2,4,0,7.0,2,6643,3,03. ВАРНА,17,3166.0,0.4765919012494355,VAR01
Айтос,3060,1010,877,2876,584,228.0,207,211,132,224,35,12,14,4,6,15,9,3,8,4,6,5,0.0,1,27515,2,02. БУРГАС,50,9531.0,0.3463928766127567,BGS01
Аксаково,2639,1120,1145,709,589,246.0,328,134,99,150,14,16,41,11,24,18,12,6,9,10,4,6,17.0,2,17140,3,03. ВАРНА,38,7349.0,0.42876312718786463,VAR02
Алфатар,433,146,107,134,108,26.0,23,39,4,41,5,1,5,0,0,3,1,5,1,1,2,1,0.0,0,2501,20,20. СИЛИСТРА,11,1086.0,0.4342263094762095,SLS01
Антон,70,91,76,88,35,18.0,18,13,5,3,1,1,2,2,1,4,0,1,0,1,0,0,0.0,0,1220,26,26. СОФИЯ област,2,430.0,0.3524590163934426,SFO54
Антоново,269,138,105,1742,192,49.0,30,34,15,75,7,2,4,0,1,1,2,3,5,3,3,1,0.0,2,5546,28,28. ТЪРГОВИЩЕ,40,2683.0,0.48377208799134513,TGV02
Априлци,405,215,203,9,94,44.0,33,28,19,15,2,2,3,0,2,3,0,2,0,0,3,0,1.0,0,2390,11,11. ЛОВЕЧ,7,1083.0,0.4531380753138075,LOV02
Ардино,578,388,102,5194,129,85.0,19,52,15,134,3,5,4,6,5,4,0,2,4,4,3,3,0.0,0,25089,9,09. КЪРДЖАЛИ,58,6739.0,0.2686037705767468,KRZ02
Асеновград,5738,3831,2591,3735,2803,866.0,777,708,352,403,74,19,76,27,35,37,33,19,16,15,14,6,0.0,4,57809,17,17. ПЛОВДИВ област,109,22179.0,0.3836599837395561,PDV01
Балчик,1011,939,986,1090,466,189.0,213,170,124,112,27,14,24,10,9,14,12,3,4,3,5,4,0.0,1,17350,8,08. ДОБРИЧ,38,5430.0,0.31296829971181556,DOB03
Баните,599,278,50,328,217,40.0,50,19,22,31,2,0,10,1,2,0,2,0,12,2,1,1,0.0,0,3382,22,22. СМОЛЯН,16,1667.0,0.4929036073329391,SML02
Банско,1916,1303,641,136,660,303.0,246,105,117,84,18,13,29,5,2,6,0,5,1,3,3,4,0.0,0,10748,1,01. БЛАГОЕВГРАД,23,5600.0,0.5210271678451805,BLG01
Батак,480,223,176,1246,101,75.0,61,51,23,28,6,4,5,1,0,5,5,3,6,0,0,0,0.0,0,5113,13,13. ПАЗАРДЖИК,10,2499.0,0.48875415607275574,PAZ03
Белене,515,712,463,77,484,143.0,168,61,112,38,11,11,17,1,1,10,8,0,6,4,1,1,0.0,0,7666,15,15. ПЛЕВЕН,17,2844.0,0.3709887816331855,PVN03
Белица,400,110,80,3733,245,55.0,17,83,26,119,5,1,4,0,3,1,1,4,3,2,4,0,0.0,0,7914,1,01. БЛАГОЕВГРАД,20,4896.0,0.6186504927975739,BLG02
Белово,1107,501,478,52,326,112.0,103,137,57,53,14,4,9,0,3,10,4,5,4,1,2,2,0.0,0,7171,13,13. ПАЗАРДЖИК,11,2984.0,0.4161204852879654,PAZ04
Белоградчик,337,332,208,630,245,72.0,61,77,33,53,2,5,0,4,2,2,0,0,2,1,2,3,0.0,0,5159,5,05. ВИДИН,18,2071.0,0.40143438650901336,VID01
Белослав,788,567,520,244,247,137.0,188,66,60,52,10,8,13,2,6,11,3,4,2,19,5,3,4.0,1,8946,3,03. ВАРНА,14,2960.0,0.3308741336910351,VAR04
Берковица,1510,990,779,1249,603,196.0,177,93,187,156,21,4,14,9,6,14,4,3,7,5,2,3,0.0,0,15372,12,12. МОНТАНА,41,6032.0,0.3924017694509498,MON02
Благоевград,8946,7133,3347,1986,2104,1252.0,1357,1100,848,335,88,60,78,49,78,42,31,30,37,13,26,29,0.0,16,93742,1,01. БЛАГОЕВГРАД,142,28985.0,0.3091997183759681,BLG03
Бобов дол,807,346,326,97,444,100.0,85,62,55,36,9,9,7,1,7,5,1,2,6,0,2,3,0.0,0,6631,10,10. КЮСТЕНДИЛ,27,2410.0,0.3634444276881315,KNL04
Бобошево,278,159,90,75,126,31.0,28,32,11,16,5,4,2,1,2,1,1,1,3,0,2,0,0.0,0,2000,10,10. КЮСТЕНДИЛ,10,868.0,0.434,KNL05
Божурище,914,714,464,64,257,170.0,137,141,66,38,6,15,10,6,3,15,10,6,0,0,5,0,0.0,3,6429,26,26. СОФИЯ област,12,3044.0,0.47347954580805723,SFO06
Бойница,222,57,27,18,40,9.0,6,10,3,18,2,0,1,0,1,0,0,0,0,0,0,0,0.0,0,711,5,05. ВИДИН,5,414.0,0.5822784810126582,VID03
Бойчиновци,1184,226,312,1040,230,51.0,71,33,56,104,18,6,11,2,4,1,2,0,3,0,1,0,0.0,0,6976,12,12. МОНТАНА,19,3355.0,0.48093463302752293,MON04
Болярово,245,166,157,49,765,43.0,28,50,11,48,4,1,4,0,0,3,0,0,2,0,2,2,0.0,2,2607,31,31. ЯМБОЛ,21,1582.0,0.6068277713847334,JAM03
Борино,119,166,29,1127,78,33.0,19,16,4,15,1,4,2,0,1,1,2,2,1,1,0,0,0.0,0,3154,22,22. СМОЛЯН,9,1621.0,0.5139505389980976,SML05
Борован,312,152,141,857,232,59.0,45,210,16,73,6,0,7,4,1,5,2,2,2,0,3,2,0.0,1,4344,6,06. ВРАЦА,13,2132.0,0.49079189686924496,VRC05
Борово,477,276,181,215,197,50.0,40,33,21,59,4,0,3,3,8,5,1,1,1,1,3,0,0.0,2,4819,19,19. РУСЕ,10,1581.0,0.3280763643909525,RSE03
Ботевград,3072,1951,1487,452,1169,550.0,588,375,192,182,25,36,49,59,25,17,19,88,14,4,9,4,0.0,2,27305,26,26. СОФИЯ област,45,10369.0,0.3797472990294818,SFO07
Братя Даскалови,492,273,231,715,351,26.0,56,51,45,61,7,2,6,0,1,1,1,1,1,1,6,1,0.0,2,5675,27,27. СТАРА ЗАГОРА,23,2331.0,0.4107488986784141,SZR04
Брацигово,890,438,342,64,313,85.0,77,33,39,48,5,4,4,2,4,3,3,2,1,1,4,0,0.0,0,7406,13,13. ПАЗАРДЖИК,16,2362.0,0.31893059681339453,PAZ06
Брегово,922,249,145,270,355,66.0,50,21,32,48,3,8,1,9,8,7,0,1,2,2,0,3,0.0,0,4011,5,05. ВИДИН,15,2202.0,0.5489902767389678,VID06
Брезник,754,333,255,55,261,73.0,84,52,128,45,11,3,3,19,4,3,4,2,1,1,2,2,0.0,0,4994,14,14. ПЕРНИК,25,2095.0,0.4195034040849019,PER08
Брезово,576,280,311,12,501,51.0,55,66,39,74,11,3,11,1,0,5,2,3,2,4,6,0,0.0,0,4994,17,17. ПЛОВДИВ област,20,2013.0,0.40308370044052866,PDV07
