id,ГЕРБ-СДС,ДПС,ПП/ДБ,ВЪЗР,БСП,ИТН,ВЕЛИЧИЕ,не подкрепям никого,МЕЧ,ВМРО БНД,СИНЯ БЪЛГАРИЯ,СОЛИДАРНА БГ,ЦЕНТЪР,ЗЕЛЕНИТЕ,Кузман Илиев (нез.),ЛЕВИЦАТА,БВ,ЗЕЛЕНО ДВИЖЕНИЕ,ГЛАС НАРОДЕН,ПРЯКА ДЕМОКРАЦИЯ,НИЕ ИДВАМЕ,НИЕ ГРАЖДАНИТЕ,ЕДИНЕНИЕ,БЪЛГАРСКИ ГЛАСЪ,ГРАЖДАНСКИ БЛОК,КОАЛИЦИЯ НА РОЗАТА,ОБЩЕСТВО ЗА НОВА БГ,БНС-НД,ЗА ВЕЛИКА БЪЛГАРИЯ,НП ИСИ,БНО,БСДД,невалидни,total_valid,total,eligible_voters,n_stations
14,138.0,665.0,29.0,13.0,34.0,32.0,2.0,12.0,12.0,0.0,0.0,2.0,5.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,16,955.0,971.0,2281,3
28,16.0,3.0,7.0,10.0,8.0,5.0,1.0,1.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,57.0,59.0,95,1
31,6.0,73.0,0.0,1.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7,89.0,96.0,178,1
45,80.0,6.0,4.0,16.0,13.0,2.0,2.0,4.0,7.0,3.0,6.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18,153.0,171.0,670,1
59,17.0,279.0,4.0,2.0,1.0,0.0,0.0,6.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,320.0,323.0,560,1
84,80.0,9.0,15.0,31.0,14.0,15.0,15.0,3.0,5.0,5.0,1.0,0.0,0.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3,202.0,205.0,508,1
93,19.0,47.0,8.0,2.0,8.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,94.0,97.0,291,1
103,16.0,32.0,5.0,3.0,5.0,1.0,1.0,3.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,72.0,76.0,238,1
120,15.0,211.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,230.0,230.0,589,1
134,41.0,14.0,18.0,34.0,8.0,23.0,4.0,3.0,7.0,12.0,2.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,178.0,182.0,512,1
151,931.0,918.0,307.0,566.0,297.0,233.0,222.0,95.0,120.0,57.0,22.0,40.0,26.0,31.0,3.0,13.0,17.0,7.0,11.0,2.0,4.0,9.0,18.0,3.0,1.0,11.0,11.0,3.0,1.0,7.0,1.0,3.0,130,3990.0,4120.0,17348,32
165,31.0,3.0,13.0,19.0,21.0,12.0,9.0,1.0,5.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,124.0,127.0,328,1
179,10.0,1.0,2.0,4.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,23.0,23.0,42,1
182,570.0,21.0,234.0,395.0,99.0,177.0,125.0,63.0,77.0,39.0,14.0,25.0,12.0,36.0,16.0,24.0,13.0,3.0,10.0,8.0,11.0,17.0,3.0,1.0,0.0,1.0,0.0,4.0,1.0,2.0,3.0,2.0,32,2006.0,2038.0,6508,10
196,30.0,16.0,24.0,5.0,17.0,3.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,100.0,103.0,232,1
215,14.0,1.0,8.0,6.0,7.0,1.0,1.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,46.0,48.0,100,1
223,88.0,10.0,31.0,30.0,19.0,16.0,5.0,8.0,8.0,6.0,7.0,2.0,3.0,3.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7,243.0,250.0,1020,2
237,42.0,10.0,7.0,15.0,4.0,12.0,1.0,3.0,4.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,105.0,111.0,393,1
240,62.0,16.0,4.0,10.0,10.0,4.0,2.0,1.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10,122.0,132.0,343,1
254,49.0,207.0,20.0,34.0,19.0,16.0,4.0,6.0,27.0,4.0,0.0,3.0,6.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,44,404.0,448.0,2431,3
268,8.0,20.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,34.0,36.0,46,1
271,18.0,1.0,3.0,6.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,36.0,37.0,64,1
285,49.0,5.0,2.0,3.0,5.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,71.0,81.0,79,1
