id,ГЕРБ-СДС,ДПС,ПП/ДБ,ВЪЗР,БСП,ИТН,ВЕЛИЧИЕ,не подкрепям никого,МЕЧ,СИНЯ БЪЛГАРИЯ,СОЛИДАРНА БГ,ЦЕНТЪР,ВМРО БНД,ЛЕВИЦАТА!,БВ,ЗЕЛЕНО ДВИЖЕНИЕ,ГЛАС НАРОДЕН,НИЕ ИДВАМЕ,ЗЕЛЕНИТЕ,ЕДИНЕНИЕ,ПРЯКА ДЕМОКРАЦИЯ,НИЕ ГРАЖДАНИТЕ,БЪЛГАРСКИ ГЛАСЪ,ГРАЖДАНСКИ БЛОК,НП ИСИ,НЕУТРАЛНА БЪЛГАРИЯ,КОАЛИЦИЯ НА РОЗАТА,БНС-НД,ОБЩЕСТВО ЗА НОВА БГ,ЗА ВЕЛИКА БЪЛГАРИЯ,БСДД,БНО,невалидни,total_valid,total,eligible_voters,n_stations
14,147.0,690.0,24.0,13.0,26.0,32.0,0.0,12.0,18.0,1.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,14,977.0,991.0,2302,3
28,16.0,3.0,7.0,10.0,8.0,3.0,1.0,1.0,3.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2,57.0,59.0,95,1
31,6.0,73.0,0.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8,88.0,96.0,185,1
45,86.0,6.0,3.0,15.0,11.0,1.0,1.0,5.0,8.0,2.0,0.0,1.0,4.0,0.0,2.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,20,152.0,172.0,675,1
59,19.0,279.0,5.0,1.0,1.0,0.0,0.0,6.0,5.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,321.0,326.0,567,1
84,85.0,14.0,18.0,32.0,16.0,14.0,11.0,4.0,5.0,1.0,3.0,1.0,5.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,214.0,216.0,508,1
93,19.0,49.0,8.0,1.0,8.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,101.0,102.0,292,1
103,17.0,32.0,4.0,8.0,4.0,1.0,1.0,1.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,73.0,76.0,238,1
120,14.0,239.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,259.0,261.0,978,1
134,47.0,31.0,19.0,35.0,10.0,18.0,4.0,2.0,8.0,4.0,1.0,3.0,4.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,191.0,193.0,512,1
151,1002.0,948.0,314.0,580.0,333.0,240.0,246.0,102.0,145.0,26.0,38.0,26.0,17.0,14.0,26.0,6.0,10.0,5.0,15.0,36.0,5.0,6.0,5.0,3.0,2.0,7.0,8.0,3.0,11.0,1.0,2.0,2.0,139,4184.0,4323.0,18827,32
165,30.0,7.0,12.0,18.0,21.0,11.0,10.0,2.0,7.0,1.0,1.0,2.0,0.0,4.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,131.0,134.0,329,1
179,10.0,1.0,3.0,5.0,3.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,27.0,27.0,42,1
182,624.0,24.0,218.0,431.0,128.0,186.0,143.0,67.0,105.0,32.0,27.0,21.0,17.0,45.0,11.0,3.0,5.0,16.0,8.0,1.0,10.0,5.0,1.0,0.0,6.0,5.0,2.0,1.0,0.0,0.0,0.0,1.0,40,2143.0,2183.0,6576,10
196,28.0,15.0,25.0,5.0,18.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,97.0,104.0,232,1
215,16.0,1.0,9.0,4.0,7.0,1.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,48.0,48.0,101,1
223,99.0,19.0,38.0,31.0,18.0,17.0,7.0,8.0,8.0,8.0,2.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,6,269.0,275.0,1030,2
237,49.0,13.0,7.0,13.0,6.0,7.0,2.0,3.0,3.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,109.0,113.0,394,1
240,64.0,16.0,5.0,10.0,9.0,4.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,11,121.0,132.0,349,1
254,57.0,214.0,22.0,35.0,17.0,16.0,5.0,6.0,32.0,0.0,3.0,8.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,34,425.0,459.0,2441,3
268,7.0,20.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2,35.0,37.0,46,1
271,20.0,1.0,3.0,5.0,4.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,38.0,39.0,65,1
285,53.0,5.0,2.0,3.0,7.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,78.0,82.0,128,1
299,31.0,74.0,16.0,19.0,28.0,11.0,3.0,6.0,5.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,11,199.0,210.0,1590,2
309,9.0,562.0,8.0,18.0,16.0,8.0,12.0,2.0,5.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,1.0,0.0,0.0,34,660.0,694.0,2197,2
312,5.0,106.0,5.0,3.0,1.0,2.0,2.0,1.0,3.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,132.0,136.0,264,1
326,78.0,4.0,3.0,7.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,98.0,100.0,181,1
330,10.0,1.0,3.0,1.0,2.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,23.0,23.0,36,1
343,22.0,1.0,2.0,6.0,1.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,41.0,43.0,91,1
357,905.0,54.0,389.0,593.0,180.0,177.0,155.0,115.0,123.0,60.0,61.0,75.0,54.0,14.0,11.0,8.0,12.0,12.0,11.0,3.0,11.0,8.0,4.0,3.0,2.0,7.0,4.0,1.0,4.0,0.0,3.0,0.0,50,3059.0,3109.0,11096,16
374,6.0,0.0,1.0,5.0,44.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,61.0,63.0,107,1
391,32.0,0.0,5.0,8.0,14.0,1.0,0.0,0.0,2.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,68.0,72.0,141,1
401,142.0,96.0,14.0,23.0,17.0,8.0,4.0,3.0,3.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,7,318.0,325.0,858,2
415,338.0,7.0,33.0,77.0,52.0,20.0,28.0,19.0,18.0,4.0,3.0,8.0,3.0,5.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,623.0,638.0,1279,5
429,20.0,26.0,2.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,60.0,64.0,298,1
432,19.0,46.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,71.0,74.0,235,1
446,6.0,224.0,2.0,1.0,4.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,12,243.0,255.0,504,1
480,24.0,59.0,18.0,48.0,28.0,20.0,2.0,7.0,4.0,0.0,9.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,226.0,230.0,942,2
494,2.0,2.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,11.0,14.0,28,1
504,59.0,49.0,33.0,79.0,23.0,23.0,7.0,11.0,8.0,3.0,3.0,6.0,0.0,0.0,4.0,3.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7,317.0,324.0,1207,2
518,52.0,216.0,16.0,29.0,54.0,9.0,17.0,14.0,21.0,2.0,4.0,10.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,1.0,0.0,7,459.0,466.0,1380,4
549,44.0,9.0,16.0,32.0,36.0,13.0,18.0,4.0,15.0,3.0,1.0,4.0,9.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5,211.0,216.0,820,1
552,24.0,29.0,0.0,10.0,7.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,74.0,75.0,75,1
566,4.0,4.0,2.0,1.0,51.0,3.0,1.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,74.0,81.0,507,1
571,31.0,64.0,2.0,6.0,5.0,2.0,1.0,1.0,10.0,1.0,1.0,3.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,11,134.0,145.0,345,1
583,64.0,4.0,25.0,17.0,12.0,8.0,3.0,7.0,1.0,3.0,5.0,1.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,157.0,158.0,267,1
597,28.0,42.0,4.0,8.0,5.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,93.0,97.0,277,1
607,151.0,1650.0,55.0,35.0,36.0,7.0,9.0,27.0,13.0,4.0,6.0,5.0,2.0,1.0,11.0,2.0,5.0,4.0,2.0,0.0,4.0,0.0,2.0,1.0,0.0,0.0,2.0,1.0,3.0,1.0,1.0,1.0,48,2041.0,2089.0,8087,13
624,21.0,0.0,1.0,6.0,4.0,1.0,2.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,40.0,41.0,52,1
638,39.0,1.0,13.0,9.0,8.0,1.0,0.0,3.0,3.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,85.0,91.0,104,1
655,49.0,1.0,4.0,14.0,10.0,2.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,86.0,89.0,186,1
672,65.0,473.0,50.0,32.0,17.0,13.0,22.0,21.0,12.0,23.0,1.0,7.0,0.0,0.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,53,752.0,805.0,2118,3
697,23.0,162.0,2.0,18.0,1.0,7.0,3.0,6.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,230.0,237.0,632,1
702,3264.0,2200.0,1477.0,1879.0,748.0,717.0,604.0,396.0,452.0,212.0,174.0,135.0,102.0,37.0,285.0,96.0,28.0,15.0,25.0,98.0,22.0,18.0,6.0,11.0,12.0,13.0,15.0,15.0,7.0,12.0,7.0,5.0,357,13087.0,13444.0,47298,78
713,65.0,0.0,8.0,19.0,9.0,18.0,4.0,5.0,6.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,140.0,144.0,464,1
730,30.0,118.0,1.0,3.0,5.0,4.0,1.0,2.0,4.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7,177.0,184.0,609,1
744,14.0,2.0,0.0,7.0,19.0,4.0,1.0,2.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,58.0,66.0,159,1
758,8.0,3.0,1.0,1.0,9.0,2.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,31.0,32.0,69,1
761,23.0,207.0,5.0,20.0,34.0,4.0,1.0,1.0,3.0,1.0,3.0,3.0,2.0,0.0,3.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,24,317.0,341.0,1289,2
775,6.0,1.0,5.0,3.0,2.0,3.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3,36.0,39.0,97,1
789,106.0,0.0,6.0,13.0,26.0,4.0,1.0,2.0,3.0,0.0,1.0,0.0,1.0,10.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4,177.0,181.0,421,1
792,31.0,77.0,2.0,15.0,9.0,5.0,4.0,4.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,9,161.0,170.0,359,1
802,25.0,9.0,9.0,8.0,6.0,4.0,6.0,2.0,1.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,76.0,83.0,446,1
816,20.0,1.0,1.0,6.0,10.0,4.0,0.0,1.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,51.0,53.0,141,1
828,3.0,112.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,119.0,120.0,357,1
833,232.0,2.0,27.0,100.0,22.0,31.0,50.0,9.0,22.0,10.0,4.0,3.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,30,520.0,550.0,1777,4
847,15.0,0.0,6.0,6.0,33.0,3.0,10.0,2.0,0.0,0.0,1.0,14.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,11,100.0,111.0,221,1
850,33.0,57.0,6.0,7.0,7.0,9.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,123.0,132.0,352,1
864,9.0,58.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,72.0,72.0,223,1
