municipality_name,ГЕРБ-СДС,ДПС,ПП/ДБ,ВЪЗР,БСП,ИТН,ВЕЛИЧИЕ,МЕЧ,не подкрепям никого,невалидни,СИНЯ БЪЛГАРИЯ,СОЛИДАРНА БГ,ЦЕНТЪР,ВМРО БНД,ЛЕВИЦАТА!,БВ,ЗЕЛЕНО ДВИЖЕНИЕ,ГЛАС НАРОДЕН,НИЕ ИДВАМЕ,ЗЕЛЕНИТЕ,ПРЯКА ДЕМОКРАЦИЯ,ЕДИНЕНИЕ,НИЕ ГРАЖДАНИТЕ,БЪЛГАРСКИ ГЛАСЪ,ГРАЖДАНСКИ БЛОК,НП ИСИ,НЕУТРАЛНА БЪЛГАРИЯ,ОБЩЕСТВО ЗА НОВА БГ,КОАЛИЦИЯ НА РОЗАТА,БНС-НД,ЗА ВЕЛИКА БЪЛГАРИЯ,БСДД,БНО,eligible_voters,region,region_name,n_stations,total,activity,nuts4
Аврен,1183.0,430.0,214.0,356.0,141.0,132.0,86.0,70.0,75.0,146,19.0,71.0,8.0,30.0,98.0,10.0,4.0,6.0,3.0,3.0,3.0,8.0,4.0,1.0,1.0,3.0,1.0,4.0,4.0,4.0,4.0,1.0,1.0,6669,3,03. ВАРНА,17,3124.0,0.4684360473834158,VAR01
Айтос,2032.0,2331.0,411.0,673.0,394.0,298.0,274.0,209.0,151.0,298,33.0,45.0,33.0,19.0,15.0,30.0,12.0,13.0,13.0,18.0,10.0,41.0,7.0,5.0,5.0,8.0,8.0,13.0,9.0,7.0,2.0,3.0,4.0,27518,2,02. БУРГАС,51,7424.0,0.2697870484773603,BGS01
Аксаково,2168.0,505.0,464.0,873.0,377.0,373.0,270.0,216.0,149.0,257,60.0,59.0,40.0,36.0,218.0,22.0,8.0,18.0,28.0,17.0,16.0,9.0,10.0,2.0,2.0,8.0,15.0,4.0,3.0,6.0,1.0,0.0,5.0,17105,3,03. ВАРНА,38,6239.0,0.36474714995615315,VAR02
Алфатар,504.0,151.0,43.0,99.0,80.0,32.0,30.0,21.0,25.0,50,5.0,9.0,9.0,4.0,6.0,1.0,2.0,3.0,2.0,4.0,3.0,0.0,2.0,1.0,1.0,4.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,2472,20,20. СИЛИСТРА,11,1094.0,0.4425566343042071,SLS01
Антон,59.0,49.0,33.0,79.0,23.0,23.0,7.0,8.0,11.0,7,3.0,3.0,6.0,0.0,0.0,4.0,3.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1207,26,26. СОФИЯ област,2,324.0,0.26843413421706713,SFO54
Антоново,202.0,1614.0,75.0,89.0,217.0,31.0,40.0,56.0,51.0,80,3.0,6.0,45.0,5.0,2.0,1.0,2.0,4.0,5.0,5.0,5.0,1.0,4.0,0.0,0.0,2.0,1.0,8.0,2.0,5.0,2.0,1.0,0.0,5559,28,28. ТЪРГОВИЩЕ,40,2564.0,0.461234034898363,TGV02
Априлци,345.0,11.0,86.0,182.0,60.0,45.0,39.0,24.0,37.0,11,7.0,9.0,3.0,10.0,2.0,8.0,8.0,0.0,8.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2328,11,11. ЛОВЕЧ,7,902.0,0.38745704467353953,LOV02
Ардино,483.0,5589.0,158.0,117.0,107.0,21.0,17.0,30.0,66.0,184,7.0,14.0,13.0,6.0,3.0,25.0,5.0,10.0,7.0,5.0,8.0,5.0,1.0,4.0,1.0,1.0,0.0,12.0,3.0,5.0,1.0,3.0,4.0,25268,9,09. КЪРДЖАЛИ,58,6915.0,0.27366629729301883,KRZ02
Асеновград,4040.0,3243.0,1676.0,2281.0,1015.0,878.0,722.0,581.0,482.0,470,244.0,204.0,173.0,119.0,54.0,332.0,109.0,42.0,18.0,30.0,30.0,104.0,22.0,9.0,39.0,17.0,17.0,9.0,27.0,18.0,13.0,7.0,7.0,57795,17,17. ПЛОВДИВ област,109,17032.0,0.29469677307725584,PDV01
Балчик,1185.0,1212.0,381.0,830.0,278.0,277.0,179.0,164.0,132.0,166,31.0,45.0,29.0,26.0,14.0,22.0,18.0,24.0,5.0,11.0,12.0,2.0,13.0,8.0,1.0,9.0,11.0,5.0,4.0,6.0,2.0,1.0,2.0,17411,8,08. ДОБРИЧ,38,5105.0,0.2932054448337258,DOB03
