person,personLabel,personDescription,dateOfBirth,placeOfBirth,placeOfBirthLabel,placeOfBirthLocation,dateOfDeath,placeOfDeath,placeOfDeathLabel,placeOfDeathLocation
http://www.wikidata.org/entity/Q2351106,Стоян Кантуров,,1884-09-14,http://www.wikidata.org/entity/Q162952,Пехчево,Point(22.890555555 41.759166666),1959-06-22,http://www.wikidata.org/entity/Q173277,Благоевград,Point(23.089722222 42.011944444)
http://www.wikidata.org/entity/Q12282065,Йован Андонов,политик от Северна Македония,1940-08-15,http://www.wikidata.org/entity/Q162952,Пехчево,Point(22.890555555 41.759166666),2020-12-14,http://www.wikidata.org/entity/Q384,Скопие,Point(21.433333333 41.983333333)
http://www.wikidata.org/entity/Q12287076,Михаил Йосифов (сръбски войвода),,1870-01-01,http://www.wikidata.org/entity/Q162009,Брод,Point(21.215277777 41.513333333),1941-04-01,http://www.wikidata.org/entity/Q48814,Струмица,Point(22.643055555 41.4375)
http://www.wikidata.org/entity/Q25469110,Q25469110,,1930-06-22,http://www.wikidata.org/entity/Q158088,Кавадарци,Point(22.011666666 41.432777777),2015-11-13,http://www.wikidata.org/entity/Q3711,Белград,Point(20.466666666 44.816666666)
http://www.wikidata.org/entity/Q47004897,Илия Каровски,,1926-01-01,http://www.wikidata.org/entity/Q158088,Кавадарци,Point(22.011666666 41.432777777),2012-01-01,http://www.wikidata.org/entity/Q158088,Кавадарци,Point(22.011666666 41.432777777)
http://www.wikidata.org/entity/Q59771504,Александър Кръстевски-Кошка,,1932-01-01,http://www.wikidata.org/entity/Q158088,Кавадарци,Point(22.011666666 41.432777777),2003-01-01,http://www.wikidata.org/entity/Q157246,Битоля,Point(21.334722222 41.031944444)
http://www.wikidata.org/entity/Q77684646,Владимир Илиев,български учител,1886-01-01,http://www.wikidata.org/entity/Q158088,Кавадарци,Point(22.011666666 41.432777777),,http://www.wikidata.org/entity/Q472,София,Point(23.321726 42.697886)
http://www.wikidata.org/entity/Q194217,Петре Бакевски,,1947-01-05,http://www.wikidata.org/entity/Q158088,Кавадарци,Point(22.011666666 41.432777777),2011-08-25,http://www.wikidata.org/entity/Q384,Скопие,Point(21.433333333 41.983333333)
http://www.wikidata.org/entity/Q247648,Киро Хадживасилев,,1921-01-01,http://www.wikidata.org/entity/Q158088,Кавадарци,Point(22.011666666 41.432777777),2000-01-01,http://www.wikidata.org/entity/Q1223508,Охрид,Point(20.801944444 41.116944444)
http://www.wikidata.org/entity/Q639473,Йово Камберски,,1923-01-11,http://www.wikidata.org/entity/Q157061,Гевгели,Point(22.5025 41.139166666),1995-04-25,http://www.wikidata.org/entity/Q384,Скопие,Point(21.433333333 41.983333333)
http://www.wikidata.org/entity/Q639508,Ефтим Манев,,1931-01-25,http://www.wikidata.org/entity/Q158088,Кавадарци,Point(22.011666666 41.432777777),2010-03-16,http://www.wikidata.org/entity/Q384,Скопие,Point(21.433333333 41.983333333)
http://www.wikidata.org/entity/Q822723,Васил Танев,,1897-11-21,http://www.wikidata.org/entity/Q157061,Гевгели,Point(22.5025 41.139166666),1941-11-21,http://www.wikidata.org/entity/Q12279355,Евангелистрия (дем Лъгадина),Point(23.233388888 40.982138888)
http://www.wikidata.org/entity/Q1562512,Любомир Чипранич,,1936-04-09,http://www.wikidata.org/entity/Q157061,Гевгели,Point(22.5025 41.139166666),2010-12-24,http://www.wikidata.org/entity/Q3711,Белград,Point(20.466666666 44.816666666)
http://www.wikidata.org/entity/Q2065531,Никола Минчев,,1915-11-02,http://www.wikidata.org/entity/Q158088,Кавадарци,Point(22.011666666 41.432777777),1997-04-06,http://www.wikidata.org/entity/Q384,Скопие,Point(21.433333333 41.983333333)
http://www.wikidata.org/entity/Q2334991,Киро Атанасовски,,1923-01-01,http://www.wikidata.org/entity/Q158088,Кавадарци,Point(22.011666666 41.432777777),1944-04-07,http://www.wikidata.org/entity/Q158088,Кавадарци,Point(22.011666666 41.432777777)
http://www.wikidata.org/entity/Q3133559,Петър Мазев,,1927-02-10,http://www.wikidata.org/entity/Q158088,Кавадарци,Point(22.011666666 41.432777777),1993-03-13,http://www.wikidata.org/entity/Q384,Скопие,Point(21.433333333 41.983333333)
http://www.wikidata.org/entity/Q3406644,Иван Дойчинов,,1909-01-11,http://www.wikidata.org/entity/Q157061,Гевгели,Point(22.5025 41.139166666),1991-01-29,http://www.wikidata.org/entity/Q384,Скопие,Point(21.433333333 41.983333333)
