id,ВМРО,"НИЕ, ГРАЖДАНИТЕ ",БНС,БСП,ВЪЗР,АБВ,АТАКА,КОД,ДПС,БПЛ,ДБ,ВЪЗРАЖДАНЕ НА ОТЕЧЕСТВОТО,ЗАЕДНО,БНО,НАЦИЯ,МИР,Граждани от Протеста,МУТРИ ВЪН!,ГЛАС НАРОДЕН,ДНК,РЕПУБЛИКАНЦИ ЗА БГ,ПРАВОТО,БОГ,ВОЛЯ И НФСБ,Партия на ЗЕЛЕНИТЕ,ОБЩЕСТВО,БСДД,ГЕРБ-СДС,ИТН,ПРЯКА ДЕМОКРАЦИЯ,31,npn,total,eligible_voters,activity
14,0.013235294117647059,0.0,0.0,0.028676470588235293,0.0007352941176470588,0.004411764705882353,0.0,0.0007352941176470588,0.5455882352941176,0.0007352941176470588,0.014705882352941176,0.0,0.0,0.011764705882352941,0.0,0.0,0.0022058823529411764,0.010294117647058823,0.0,0.0007352941176470588,0.0007352941176470588,0.0007352941176470588,0.0007352941176470588,0.0,0.0007352941176470588,0.0007352941176470588,0.0,0.2772058823529412,0.06764705882352941,0.0,0.014705882352941176,0.0029411764705882353,1360.0,2319,0.5864596808969383
28,0.0,0.0,0.0,0.34285714285714286,0.02857142857142857,0.0,0.014285714285714285,0.0,0.04285714285714286,0.0,0.04285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.02857142857142857,0.0,0.014285714285714285,0.0,0.0,0.0,0.02857142857142857,0.0,0.0,0.0,0.37142857142857144,0.08571428571428572,0.0,0.0,0.0,70.0,99,0.7070707070707071
31,0.0,0.0,0.0,0.08536585365853659,0.0,0.024390243902439025,0.0,0.0,0.6585365853658537,0.0,0.012195121951219513,0.012195121951219513,0.0,0.0,0.0,0.0,0.0,0.012195121951219513,0.024390243902439025,0.0,0.0,0.0,0.0,0.024390243902439025,0.0,0.0,0.0,0.12195121951219512,0.024390243902439025,0.0,0.0,0.0,82.0,196,0.41836734693877553
45,0.0030959752321981426,0.0030959752321981426,0.0,0.18885448916408668,0.006191950464396285,0.009287925696594427,0.009287925696594427,0.0,0.04643962848297214,0.0,0.009287925696594427,0.0030959752321981426,0.0,0.030959752321981424,0.0030959752321981426,0.0,0.0030959752321981426,0.06501547987616099,0.0,0.0030959752321981426,0.006191950464396285,0.0030959752321981426,0.0,0.02476780185758514,0.0,0.0,0.0030959752321981426,0.49226006191950467,0.0804953560371517,0.0030959752321981426,0.0,0.0030959752321981426,323.0,668,0.48353293413173654
59,0.007782101167315175,0.0,0.0,0.019455252918287938,0.0038910505836575876,0.0,0.0,0.0,0.5525291828793775,0.0,0.0038910505836575876,0.0,0.0,0.023346303501945526,0.0,0.0,0.0,0.0038910505836575876,0.0,0.0,0.0,0.0,0.0,0.011673151750972763,0.0,0.0,0.0,0.30739299610894943,0.05058365758754864,0.0,0.0,0.01556420233463035,257.0,588,0.4370748299319728
84,0.051194539249146756,0.0,0.0,0.16723549488054607,0.010238907849829351,0.013651877133105802,0.010238907849829351,0.0034129692832764505,0.023890784982935155,0.0,0.023890784982935155,0.0,0.0,0.027303754266211604,0.0,0.0,0.0,0.023890784982935155,0.0,0.0034129692832764505,0.0,0.0,0.0,0.034129692832764506,0.0,0.0,0.0,0.4778156996587031,0.12627986348122866,0.0,0.0,0.0034129692832764505,293.0,301,0.973421926910299
93,0.015463917525773196,0.005154639175257732,0.0,0.18041237113402062,0.015463917525773196,0.0,0.0,0.0,0.31958762886597936,0.0,0.020618556701030927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005154639175257732,0.0,0.030927835051546393,0.0,0.0,0.0,0.0,0.0,0.0,0.29381443298969073,0.08762886597938144,0.0,0.0,0.02577319587628866,194.0,330,0.5878787878787879
103,0.0,0.008620689655172414,0.0,0.1206896551724138,0.0,0.0,0.017241379310344827,0.008620689655172414,0.13793103448275862,0.0,0.008620689655172414,0.0,0.0,0.017241379310344827,0.0,0.0,0.008620689655172414,0.008620689655172414,0.0,0.017241379310344827,0.0,0.0,0.0,0.08620689655172414,0.0,0.0,0.0,0.4396551724137931,0.10344827586206896,0.0,0.0,0.017241379310344827,116.0,257,0.45136186770428016
120,0.0,0.0,0.0,0.020161290322580645,0.004032258064516129,0.004032258064516129,0.0,0.0,0.6411290322580645,0.004032258064516129,0.008064516129032258,0.0,0.0,0.0,0.0,0.0,0.0,0.004032258064516129,0.0,0.0,0.0,0.004032258064516129,0.0,0.004032258064516129,0.004032258064516129,0.0,0.0,0.25806451612903225,0.016129032258064516,0.004032258064516129,0.0,0.024193548387096774,248.0,948,0.2616033755274262
134,0.019933554817275746,0.0,0.0,0.07973421926910298,0.009966777408637873,0.006644518272425249,0.0033222591362126247,0.0033222591362126247,0.11627906976744186,0.0,0.08305647840531562,0.006644518272425249,0.0,0.03322259136212625,0.0,0.0,0.0,0.03986710963455149,0.006644518272425249,0.0033222591362126247,0.006644518272425249,0.0,0.0033222591362126247,0.029900332225913623,0.0,0.0,0.0,0.3521594684385382,0.18272425249169436,0.0,0.0,0.013289036544850499,301.0,628,0.47929936305732485
