;from;to;fromLabel;toLabel;value;color;toTotal
51;[20.801944444,41.116944444];[23.321726,42.697886];Охрид;София;69;#ff3a31;559
240;[21.554166666,41.346388888];[23.321726,42.697886];Прилеп;София;63;#ff3a31;559
168;[22.191388888,41.735833333];[23.321726,42.697886];Щип;София;45;#ff3a31;559
302;[21.775277777,41.715277777];[23.321726,42.697886];Велес;София;42;#ff3a31;559
369;[21.334722222,41.031944444];[23.321726,42.697886];Битоля;София;38;#ff3a31;559
260;[21.248333333,41.37];[23.321726,42.697886];Крушево;София;36;#ff3a31;559
671;[22.8765,40.9954];[23.321726,42.697886];Кукуш;София;36;#ff3a31;559
501;[22.935555555,40.640277777];[23.321726,42.697886];Солун;София;20;#ff3a31;559
1206;[21.433333333,41.983333333];[23.321726,42.697886];Скопие;София;20;#ff3a31;559
189;[20.678888888,41.1775];[23.321726,42.697886];Струга;София;16;#ff3a31;559
406;[21.012222222,41.088888888];[23.321726,42.697886];Ресен;София;13;#ff3a31;559
399;[22.011666666,41.432777777];[23.321726,42.697886];Кавадарци;София;7;#ff3a31;559
1355;[22.72472222,41.17916667];[23.321726,42.697886];Дойран;София;7;#ff3a31;559
204;[20.971388888,42.010277777];[23.321726,42.697886];Тетово;София;6;#ff3a31;559
626;[22.05,40.8];[23.321726,42.697886];Воден;София;6;#ff3a31;559
1050;[21.429166666,40.565277777];[23.321726,42.697886];Загоричани;София;6;#ff3a31;559
1259;[22.331666666,42.201666666];[23.321726,42.697886];Крива паланка;София;6;#ff3a31;559
650;[22.4125,41.916666666];[23.321726,42.697886];Кочани;София;4;#ff3a31;559
1022;[21.556111111,40.49];[23.321726,42.697886];Емборе;София;4;#ff3a31;559
1238;[22.643055555,41.4375];[23.321726,42.697886];Струмица;София;4;#ff3a31;559
1252;[21.714444444,42.132222222];[23.321726,42.697886];Куманово;София;4;#ff3a31;559
1346;[22.41453,40.79622];[23.321726,42.697886];Енидже Вардар;София;4;#ff3a31;559
126;[20.653055555,41.594166666];[23.321726,42.697886];Галичник;София;3;#ff3a31;559
727;[21.08333333,40.63333333];[23.321726,42.697886];Смърдеш;София;3;#ff3a31;559
768;[23.683333333,41.3];[23.321726,42.697886];Горно Броди;София;3;#ff3a31;559
536;[22.5714,40.9954];[23.321726,42.697886];Ругуновец;София;2;#ff3a31;559
557;[22.175,42.078333333];[23.321726,42.697886];Кратово;София;2;#ff3a31;559
634;[22.00363,40.8055];[23.321726,42.697886];Владово;София;2;#ff3a31;559
686;[22.8075,41.687222222];[23.321726,42.697886];Русиново;София;2;#ff3a31;559
698;[21.061666666,40.412222222];[23.321726,42.697886];Нестрам;София;2;#ff3a31;559
710;[22.451944444,40.948055555];[23.321726,42.697886];Гумендже;София;2;#ff3a31;559
748;[23.542222222,41.320833333];[23.321726,42.697886];Крушево;София;2;#ff3a31;559
990;[21.07972222,40.57888889];[23.321726,42.697886];Косинец;София;2;#ff3a31;559
1110;[21.2625,40.672777777];[23.321726,42.697886];Кономлади;София;2;#ff3a31;559
1118;[21.33864444,40.62];[23.321726,42.697886];Вишени;София;2;#ff3a31;559
1141;[21.513611111,40.835833333];[23.321726,42.697886];Върбени;София;2;#ff3a31;559
8;[21.050277777,41.024722222];[23.321726,42.697886];Подмочани;София;1;#ff3a31;559
15;[22.592777777,40.826111111];[23.321726,42.697886];Бозец;София;1;#ff3a31;559
68;[21.410277777,40.763333333];[23.321726,42.697886];Горно Неволяни;София;1;#ff3a31;559
75;[23.718861111,41.133583333];[23.321726,42.697886];Дряново (Серско);София;1;#ff3a31;559
79;[21.1774,40.40443];[23.321726,42.697886];Жужелци;София;1;#ff3a31;559
90;[21.32144,40.52154];[23.321726,42.697886];Личища;София;1;#ff3a31;559
91;[21.53611111,40.50472222];[23.321726,42.697886];Лъка (дем Еордея);София;1;#ff3a31;559
99;[21.2325,40.646666666];[23.321726,42.697886];Поздивища;София;1;#ff3a31;559
105;[21.748166666,40.726444444];[23.321726,42.697886];Пътеле;София;1;#ff3a31;559
315;[22.5025,41.139166666];[23.321726,42.697886];Гевгели;София;1;#ff3a31;559
421;[22.089166666,41.483888888];[23.321726,42.697886];Неготино;София;1;#ff3a31;559
570;[21.408888888,40.782777777];[23.321726,42.697886];Лерин;София;1;#ff3a31;559
591;[21.268761111,40.518130555];[23.321726,42.697886];Костур;София;1;#ff3a31;559
608;[23.55,41.083333333];[23.321726,42.697886];Сяр;София;1;#ff3a31;559
635;[22.743611111,41.145277777];[23.321726,42.697886];Владая;София;1;#ff3a31;559
639;[21.7953,41.6572];[23.321726,42.697886];Църквино;София;1;#ff3a31;559
641;[22.519167,40.76];[23.321726,42.697886];Пела;София;1;#ff3a31;559
692;[23.039444444,41.088888888];[23.321726,42.697886];Междурек;София;1;#ff3a31;559
702;[22.23,42.013888888];[23.321726,42.697886];Лесново;София;1;#ff3a31;559
730;[21.502777777,40.539722222];[23.321726,42.697886];Мокрени;София;1;#ff3a31;559
737;[22.105,41.7872];[23.321726,42.697886];Криви дол;София;1;#ff3a31;559
762;[22.7436,41.3838];[23.321726,42.697886];Банско;София;1;#ff3a31;559
773;[22.234722222,41.9875];[23.321726,42.697886];Злетово;София;1;#ff3a31;559
784;[21.346111111,40.991666666];[23.321726,42.697886];Кърстоар;София;1;#ff3a31;559
802;[22.6094,41.3572];[23.321726,42.697886];Костурино;София;1;#ff3a31;559
806;[21.461666666,41.477222222];[23.321726,42.697886];Браилово;София;1;#ff3a31;559
829;[21.0,41.0331];[23.321726,42.697886];Дърмени;София;1;#ff3a31;559
846;[21.698611111,41.553055555];[23.321726,42.697886];Извор;София;1;#ff3a31;559
