party;party label
БЪЛГАРСКО ЛЯТО;БЪЛГАРСКО ЛЯТО
НОВА СИЛА;НОВА СИЛА
ДНК;ДНК
НП ИСИ;НП ИСИ
НОВА АЛТЕРНАТИВА;НОВА АЛТЕРНАТИВА
ЛЯВ СЪЮЗ;ЛЯВ СЪЮЗ
ЛЕВИЦАТА И ЗЕЛЕНА ПАРТИЯ;ЛЕВИЦАТА И ЗЕЛЕНА ПАРТИЯ
БЪЛГАРСКИ ГЛАСЪ;БЪЛГАРСКИ ГЛАСЪ
Средна Европейска Класа;Средна Европейска Класа
БНС;БНС
ЗА ВЕЛИКА БЪЛГАРИЯ;ЗА ВЕЛИКА БЪЛГАРИЯ
СОЦИАЛДЕМ. ПАРТИЯ;СОЦИАЛДЕМ. ПАРТИЯ
Нова България;Нова България
БСДД;БСДД
РБ-ГЛАС НАРОДЕН;РБ-ГЛАС НАРОДЕН
ВМРО;ВМРО
ВМРО - БНД;ВМРО - БНД
ДЕСНИТЕ;ДЕСНИТЕ
БРИГАДА;БРИГАДА
ПФ (НФСБ-ВМРО);ПФ (НФСБ-ВМРО)
БДЦ;БДЦ
независими2;независими2
НИЕ, ГРАЖДАНИТЕ ;НИЕ, ГРАЖДАНИТЕ 
ЗАЕДНО;ЗАЕДНО
Съюз на Комунистите;Съюз на Комунистите
ВМРО БНД;ВМРО БНД
КОАЛИЦИЯ НА НЕДОВОЛНИТЕ;КОАЛИЦИЯ НА НЕДОВОЛНИТЕ
РЕПУБЛИКАНЦИ ЗА БГ;РЕПУБЛИКАНЦИ ЗА БГ
РБ, ССД и ЗС;РБ, ССД и ЗС
Чавдар Попов (нез.);Чавдар Попов (нез.)
НОД;НОД
БЪЛГАРСКА ПРОЛЕТ;БЪЛГАРСКА ПРОЛЕТ
Движение 21;Движение 21
Свобода и Достойнство;Свобода и Достойнство
БТР;БТР
ДАНО;ДАНО
ДСБ (коалиция);ДСБ (коалиция)
СИНЯ БЪЛГАРИЯ;СИНЯ БЪЛГАРИЯ
РВО;РВО
Българска Пролет;Българска Пролет
ПРАВОТО;ПРАВОТО
НИЕ ИДВАМЕ;НИЕ ИДВАМЕ
ИТН;ИТН
РУСОФИЛИ ЗА БГ;РУСОФИЛИ ЗА БГ
Християн-Социален Съюз;Християн-Социален Съюз
ЕДИНЕНИЕ;ЕДИНЕНИЕ
ПД;ПД
ЛЕВИЦАТА;ЛЕВИЦАТА
ЗЕЛЕНИТЕ;ЗЕЛЕНИТЕ
ОБЩЕСТВО ЗА НОВА БГ;ОБЩЕСТВО ЗА НОВА БГ
Булгари;Булгари
БВ;БВ
БСП;БСП
ОНБ;ОНБ
Християндем. партия;Християндем. партия
Партия на ЗЕЛЕНИТЕ;Партия на ЗЕЛЕНИТЕ
Другата България;Другата България
КОАЛИЦИЯ НА РОЗАТА;КОАЛИЦИЯ НА РОЗАТА
ВОЛЯ;ВОЛЯ
МЕЧ;МЕЧ
Българската Левица;Българската Левица
ПРЯКА ДЕМОКРАЦИЯ;ПРЯКА ДЕМОКРАЦИЯ
СОЛИДАРНА БГ;СОЛИДАРНА БГ
КОД;КОД
БЗНС;БЗНС
ПП;ПП
ДСБ-БДФ;ДСБ-БДФ
ГЛАС НАРОДЕН;ГЛАС НАРОДЕН
КТБ;КТБ
МОЯ СТРАНА БЪЛГАРИЯ;МОЯ СТРАНА БЪЛГАРИЯ
ПФ;ПФ
независими1;независими1
ДБГ;ДБГ
ГРАЖДАНСКИ БЛОК;ГРАЖДАНСКИ БЛОК
РЕПУБЛИКА БГ;РЕПУБЛИКА БГ
НОВОТО ВРЕМЕ;НОВОТО ВРЕМЕ
БЪЛГАРСКА СОЦИАЛДЕМОКРАЦИЯ;БЪЛГАРСКА СОЦИАЛДЕМОКРАЦИЯ
ОБЕДИНЕНИ ПАТРИОТИ;ОБЕДИНЕНИ ПАТРИОТИ
независими;независими
Глас Народен;Глас Народен
СВОБОДА;СВОБОДА
ДПС;ДПС
Демократическа Партия;Демократическа Партия
invalid;невалидни
ОБЕДИНЕНА БЪЛГАРИЯ;ОБЕДИНЕНА БЪЛГАРИЯ
НДСВ;НДСВ
ЕВРОЛЕВИЦА;ЕВРОЛЕВИЦА
КСБ;КСБ
ИЗПРАВИ СЕ;ИЗПРАВИ СЕ
npn;не подкрепям никого
АТАКА (к.);АТАКА (к.)
Лидер;Лидер
МИР;МИР
