;ekatte;област;община;населено место;бележки;nuts4
0;2614;Перник;Брезник;с. Банище;;PER08
1;35384;Видин;Брегово;с. Калина;;VID06
2;51768;Русе;Иваново;с. Нисово;;RSE13
3;35393;Добрич;Генерал Тошево;с. Калина;;DOB12
4;2628;Търговище;Антоново;с. Банковец;;TGV02
5;51785;Шумен;Върбица;с. Нова бяла река;;SHU10
6;35403;Кърджали;Кърджали;с. Калинка;;KRZ16
7;68179;Монтана;Вършец;с. Спанчевци;;MON12
8;2645;Перник;Трън;с. Банкя;;PER51
9;68182;Стара Загора;Чирпан;с. Спасово;;SZR36
10;51799;Велико Търново;Стражица;с. Нова Върбовка;;VTR31
11;35417;Шумен;Хитрино;с. Калино;;SHU11
12;35420;Стара Загора;Стара Загора;с. Калитиново;;SZR31
13;51809;Сливен;Нова Загора;гр. Нова Загора;;SLV16
14;2659;София (столица);Столична;гр. Банкя;;SOF46
15;51812;Добрич;Тервел;с. Нова Камена;;DOB27
16;68196;Добрич;Генерал Тошево;с. Спасово;;DOB12
17;2662;Варна;Суворово;с. Баново;;VAR26
18;35434;Перник;Ковачевци;с. Калище;;PER22
19;51826;Варна;Аксаково;с. Новаково;;VAR02
20;2676;Благоевград;Банско;гр. Банско;;BLG01
21;51830;Пловдив;Асеновград;с. Новаково;;PDV01
22;35451;Бургас;Малко Търново;с. Калово;;BGS12
23;68223;Благоевград;Сандански;с. Спатово;;BLG40
24;51843;Габрово;Габрово;с. Новаковци;;GAB05
25;2693;Благоевград;Разлог;с. Баня;;BLG37
26;35465;Габрово;Дряново;с. Каломен;;GAB12
27;68237;Хасково;Минерални бани;с. Спахиево;;HKV19
28;2703;Бургас;Несебър;с. Баня;;BGS15
29;68240;Кърджали;Ардино;с. Сполука;;KRZ02
30;51857;Хасково;Ивайловград;с. Нова ливада;;HKV11
31;51860;Благоевград;Хаджидимово;с. Нова Ловча;;BLG52
32;35479;София;Драгоман;с. Калотина;;SFO16
33;35482;Перник;Земен;с. Калотинци;;PER19
34;2717;Пазарджик;Панагюрище;с. Баня;;PAZ20
