Title;Author;Link to Review;Year of Review;Stars;Comment
Intelligence, All That Matters;Stuart Richie;https://www.amazon.com/review/R6SACJFYYTD40 ;2021;1;
The Count of Monte Cristo;Alexandre Dumas pere;https://www.amazon.com/review/ROV37CI7SRQ3N ;2020;5;
Order Without Design;Alain Bertaud;https://www.amazon.com/review/R1CG0CDZTQR53A ;2019;5;
The French Revolution & What Went Wrong;Stephen Clarke;https://www.amazon.com/review/R2LU7DYWQ7RRJA ;2019;5;
Human Accomplishment;Charles Murray;https://www.amazon.com/review/R3VL4SLVS56LB9 ;2019;1;
Who We Are And How We Got Here: Ancient DNA And the New Science of the Human Past ;David Reich;https://www.amazon.com/review/ROTGHVIPIOV4C ;2018;5;
The Elements of Statistical Learning ;Trevor Hastle ;https://www.amazon.com/review/R1T3LVALJ9I2HM ;2018;5;
Deep Learning;Ian Goodfellow;https://www.amazon.com/review/R2ANUESM3SUYTC/ ;2018;5;
The Better Angels of Our Nature;Steven Pinker;https://www.amazon.com/review/R1DEH7FKTGM00W/ ;2018;2;
Perilous Interventions;Hardeep Singh Purl;https://www.amazon.com/review/R1MPOC1YEX7D5R/ ;2017;5;
Scale: The Universal Laws of Growth, Innovation, Sustainability;Geoffrey West ;;2017;5;"Published in 2017. No Amazon review per se."
Rational Decisions;Ken Binmore;https://www.amazon.com/review/R28375834E3FQE ;2017;5;
Idea Makers;Stephen Wolfram;https://www.amazon.com/review/R13FZJNTCNN34Q ;2016;5;
The Secret of Fatima;Peter Tanous;https://www.amazon.com/review/RVQYOQ0ZLNAT8 ;2016;5;
Fictions ;Jorje Luis Borjes;https://www.amazon.com/review/R2XO409688M9K5 ;2015;5;
Birth of a Theorem;Cedric Villani;https://www.amazon.com/review/R21UUMQ8KAGPT9 ;2015;5;
1000 Foods to Eat Before You Die;Mimi Sheraton ;https://www.amazon.com/review/RZFQEJFCYVC34 ;2015;5;
Modern Aramaic-English/English-Aramaic;Nicholas Awde;https://www.amazon.com/review/R2BDMIPM35O15D ;2014;5;
The Tyrrany of Experts;William Easterly;https://www.amazon.com/review/R1JJ6JYXKU2044 ;2014;5;
Modelling Extremal Events;Paul Embrechts;https://www.amazon.com/review/RBIQQT8RPS84P ;2014;5;
Mathematics: Its Content, Methods, and Meaning ;Aleksandrov, Kolmogorov, and Lavrent’ev;https://www.amazon.com/review/R334PM3AHMGO8;2013;5;
Kelly Capital Growth Investment Criterion ;Maclean, Thorpe, Ziemba;https://www.amazon.com/review/R1I91IJ4YHZ9UT ;2013;5;
The Science of Conjecture ;James Franklin;https://www.amazon.com/review/R3RB3HJPIB8RHC ;2013;5;
Probability Theory ;Varadhan;https://www.amazon.com/review/R2ZPPOKF1DD9TF ;2013;5;
A Few Lessons From Sherlock Holmes;Peter Bevelin;https://www.amazon.com/review/R372VYS0ERFNTC ;2013;5;
Models Behaving Badly;Emanuel Derman;https://www.amazon.com/review/REYDQ966BA7X ;2013;5;
Probability, Random Variables, and Stochastic Processes;Athanasios Papoulis;https://www.amazon.com/review/RBJX110Q38V9V ;2013;5;
Bull by the Horns;Sheila Bair;https://www.amazon.com/review/RELTFUW3UIC22 ;2012;5;
Free the Animal ;Richard Nikoley;https://www.amazon.com/review/R180356YA6WODZ;2012;5;
Information: The New Language of Science;Hans von Baeyer;https://www.amazon.com/review/R2KSODP01F266P ;2012;5;
The Hour Between Dog and Wolf;John Coates;https://www.amazon.com/review/R3J6TFQX3AUPYC ;2012;5;
The Discovery of France ;Graham Robb;https://www.amazon.com/review/R1NAJVU1HQYCZM/ ;2007;5;
Statistical Models, Theory and Practice ;David Freedman;https://www.amazon.com/review/R2XUNM92KYU7BB/ ;2007;5;
Happy Accidents;Morton Meyers;https://www.amazon.com/review/R1YDOM1Y5TR6FA ;2007;5;
Good Calories, Bad Calories;Gary Taubes;https://www.amazon.com/review/R3MW66SBINF0R7 ;2007;5;
The Wisdom Paradox: How Your Mind Can Grow Stronger As Your Brain Grows Older;Elkhonon Goldberg;https://www.amazon.com/review/RLDBFNAIZ6ESL ;2005;5;
Thinking and Deciding ;Jonathan Baron;https://www.amazon.com/review/RO7CCZ69TRCEU ;2005;5;
A History of the Mind ;Nicholas Humphrey;https://www.amazon.com/review/R231AXEEWQX7SW ;2004;5;
The Status Syndrome;Michael Marmot;https://www.amazon.com/review/R2TE0N1KF0BPYJ ;2004;5;
The Making of a Philosopher;Colin McGinn;https://www.amazon.com/review/R5CGD00HRI0IN ;2004;5;
Bull! A History of the Boom and Bust;Maggie Mahar;https://www.amazon.com/review/RZA7MEN6ZYM9I ;2004;5;
Kant and the Platypus: Essays on Language and Cognition;Umberto Eco;https://www.amazon.com/review/R3MA0WKQPNSD5E ;2004;5;
Mean Genes: From Sex to Money ;Terry Burnham;https://www.amazon.com/review/R1ZDBTVBSFC3CB;2003;5;
Mapping the Mind;Rita Carter;https://www.amazon.com/review/R3EOOZU0RD7HLX ;2003;5;
The Mind Doesn’t Work That Way;Jerry Fodor;https://www.amazon.com/review/R20NSSUF8D7TZM ;2003;5;
Consciousness: An Introduction;Susan Blackmore;https://www.amazon.com/review/R1XK1DRPUO8QHJ ;2003;5;
The Statistical Mechanics of Financial Markets;Johannes-Voit;https://www.amazon.com/review/R2F2HJ18FZJVGG ;2002;5;
A Guide to Econometrics;Peter Kennedy;https://www.amazon.com/review/RUR4IYYU3U2DP ;1999;5;
